Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Lung function (spirometry indices) Show forest plot,2,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Stable state bronchiectasis (6 months or less),1,,,,1,,Lung function (spirometry indices),
"1.1 FEV1 (in L, end study minus baseline values)",2,156,"Mean Difference (IV, Fixed, 95% CI)","‐0.09 [‐0.26, 0.09]",Stable state bronchiectasis (6 months or less),1,-0.09,-0.26,0.09,1,1,Lung function (spirometry indices),"FEV1 (in L, end study minus baseline values)"
"1.2 FVC (in L, end study minus baseline values)",2,156,"Mean Difference (IV, Fixed, 95% CI)","0.01 [‐0.16, 0.17]",Stable state bronchiectasis (6 months or less),1,0.01,-0.16,0.17,1,2,Lung function (spirometry indices),"FVC (in L, end study minus baseline values)"
2 Lung function (other indices) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Stable state bronchiectasis (6 months or less),1,,,,2,,Lung function (other indices),
2.1 Diffusion capacity % predicted (end of study),1,57,"Mean Difference (IV, Fixed, 95% CI)","2.70 [‐2.49, 7.89]",Stable state bronchiectasis (6 months or less),1,2.7,-2.49,7.89,2,1,Lung function (other indices),Diffusion capacity % predicted (end of study)
2.2 RV % predicted (end of study values),1,57,"Mean Difference (IV, Fixed, 95% CI)","2.0 [‐9.41, 13.41]",Stable state bronchiectasis (6 months or less),1,2.0,-9.41,13.41,2,2,Lung function (other indices),RV % predicted (end of study values)
2.3 TLC % predicted (end of study values),1,57,"Mean Difference (IV, Fixed, 95% CI)","3.20 [‐1.99, 8.39]",Stable state bronchiectasis (6 months or less),1,3.2,-1.99,8.39,2,3,Lung function (other indices),TLC % predicted (end of study values)
3 Clinical severity indices Show forest plot,1,,"Odds Ratio (M‐H, Fixed, 95% CI)",Totals not selected,Stable state bronchiectasis (6 months or less),1,,,,3,,Clinical severity indices,
3.1 Number of participants with regular wheeze (combined),1,,"Odds Ratio (M‐H, Fixed, 95% CI)","0.0 [0.0, 0.0]",Stable state bronchiectasis (6 months or less),1,0.0,0.0,0.0,3,1,Clinical severity indices,Number of participants with regular wheeze (combined)
3.2 Number of participants without sputum reduction of > 50% (combined),1,,"Odds Ratio (M‐H, Fixed, 95% CI)","0.0 [0.0, 0.0]",Stable state bronchiectasis (6 months or less),1,0.0,0.0,0.0,3,2,Clinical severity indices,Number of participants without sputum reduction of > 50% (combined)
3.3 Number of participants with no improvement in dyspnoea score > 1 (min important difference) (1000F),1,,"Odds Ratio (M‐H, Fixed, 95% CI)","0.0 [0.0, 0.0]",Stable state bronchiectasis (6 months or less),1,0.0,0.0,0.0,3,3,Clinical severity indices,Number of participants with no improvement in dyspnoea score > 1 (min important difference) (1000F)
3.4 Number of participants with no clinically significant improvement in HRQoL,1,,"Odds Ratio (M‐H, Fixed, 95% CI)","0.0 [0.0, 0.0]",Stable state bronchiectasis (6 months or less),1,0.0,0.0,0.0,3,4,Clinical severity indices,Number of participants with no clinically significant improvement in HRQoL
4 Exacerbations Show forest plot,2,127,"Mean Difference (IV, Fixed, 95% CI)","‐0.17 [‐0.56, 0.22]",Stable state bronchiectasis (6 months or less),1,-0.17,-0.56,0.22,4,,Exacerbations,
4.1 Average number of exacerbations per participant,2,127,"Mean Difference (IV, Fixed, 95% CI)","‐0.17 [‐0.56, 0.22]",Stable state bronchiectasis (6 months or less),1,-0.17,-0.56,0.22,4,1,Exacerbations,Average number of exacerbations per participant
5 Sputum and biomarkers characteristics Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Stable state bronchiectasis (6 months or less),1,,,,5,,Sputum and biomarkers characteristics,
5.1 Sputum volume or weight (per day),1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Stable state bronchiectasis (6 months or less),1,0.0,0.0,0.0,5,1,Sputum and biomarkers characteristics,Sputum volume or weight (per day)
6 Pseudomonas aeruginosa colonisation Show forest plot,2,156,"Odds Ratio (M‐H, Fixed, 95% CI)","0.94 [0.45, 1.96]",Stable state bronchiectasis (6 months or less),1,0.94,0.45,1.96,6,,Pseudomonas aeruginosa colonisation,
