Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Mortality at 0 to 30 days Show forest plot,38,3418,"Risk Difference (IV, Fixed, 95% CI)","0.00 [‐0.01, 0.01]",Epidural analgesia compared with systemic analgesia,1,0.0,-0.01,0.01,1,,Mortality at 0 to 30 days,
1.1 With cardiopulmonary bypass,28,1844,"Risk Difference (IV, Fixed, 95% CI)","‐0.01 [‐0.02, 0.01]",Epidural analgesia compared with systemic analgesia,1,-0.01,-0.02,0.01,1,1,Mortality at 0 to 30 days,With cardiopulmonary bypass
1.2 Off‐pump surgery,8,729,"Risk Difference (IV, Fixed, 95% CI)","0.00 [‐0.01, 0.02]",Epidural analgesia compared with systemic analgesia,1,0.0,-0.01,0.02,1,2,Mortality at 0 to 30 days,Off‐pump surgery
1.3 With and without cardiopulmonary bypass,3,845,"Risk Difference (IV, Fixed, 95% CI)","0.00 [‐0.01, 0.01]",Epidural analgesia compared with systemic analgesia,1,0.0,-0.01,0.01,1,3,Mortality at 0 to 30 days,With and without cardiopulmonary bypass
2 Mortality at 6 months Show forest plot,7,407,"Risk Difference (IV, Fixed, 95% CI)","‐0.00 [‐0.03, 0.03]",Epidural analgesia compared with systemic analgesia,1,-0.0,-0.03,0.03,2,,Mortality at 6 months,
2.1 With cardiopulmonary bypass,7,407,"Risk Difference (IV, Fixed, 95% CI)","‐0.00 [‐0.03, 0.03]",Epidural analgesia compared with systemic analgesia,1,-0.0,-0.03,0.03,2,1,Mortality at 6 months,With cardiopulmonary bypass
3 Mortality at 1 year Show forest plot,5,849,"Risk Difference (M‐H, Fixed, 95% CI)","‐0.01 [‐0.03, 0.00]",Epidural analgesia compared with systemic analgesia,1,-0.01,-0.03,0.0,3,,Mortality at 1 year,
3.1 With cardiopulmonary bypass,4,197,"Risk Difference (M‐H, Fixed, 95% CI)","‐0.02 [‐0.07, 0.03]",Epidural analgesia compared with systemic analgesia,1,-0.02,-0.07,0.03,3,1,Mortality at 1 year,With cardiopulmonary bypass
3.2 With and without cardiopulmonary bypass,1,652,"Risk Difference (M‐H, Fixed, 95% CI)","‐0.01 [‐0.03, 0.01]",Epidural analgesia compared with systemic analgesia,1,-0.01,-0.03,0.01,3,2,Mortality at 1 year,With and without cardiopulmonary bypass
4 Myocardial infarction (0 to 30 days) Show forest plot,26,2713,"Risk Difference (IV, Fixed, 95% CI)","‐0.01 [‐0.02, 0.00]",Epidural analgesia compared with systemic analgesia,1,-0.01,-0.02,0.0,4,,Myocardial infarction (0 to 30 days),
4.1 With cardiopulmonary bypass,16,1153,"Risk Difference (IV, Fixed, 95% CI)","‐0.01 [‐0.03, 0.01]",Epidural analgesia compared with systemic analgesia,1,-0.01,-0.03,0.01,4,1,Myocardial infarction (0 to 30 days),With cardiopulmonary bypass
4.2 Off‐pump surgery,8,713,"Risk Difference (IV, Fixed, 95% CI)","‐0.01 [‐0.03, 0.01]",Epidural analgesia compared with systemic analgesia,1,-0.01,-0.03,0.01,4,2,Myocardial infarction (0 to 30 days),Off‐pump surgery
4.3 With and without cardiopulmonary bypass,3,847,"Risk Difference (IV, Fixed, 95% CI)","‐0.00 [‐0.03, 0.02]",Epidural analgesia compared with systemic analgesia,1,-0.0,-0.03,0.02,4,3,Myocardial infarction (0 to 30 days),With and without cardiopulmonary bypass
5 Respiratory complications: respiratory depression (0 to 30 days) Show forest plot,21,1736,"Risk Difference (M‐H, Fixed, 95% CI)","‐0.03 [‐0.05, ‐0.01]",Epidural analgesia compared with systemic analgesia,1,-0.03,-0.05,-0.01,5,,Respiratory complications: respiratory depression (0 to 30 days),
5.1 With cardiopulmonary bypass,15,1246,"Risk Difference (M‐H, Fixed, 95% CI)","‐0.04 [‐0.07, ‐0.01]",Epidural analgesia compared with systemic analgesia,1,-0.04,-0.07,-0.01,5,1,Respiratory complications: respiratory depression (0 to 30 days),With cardiopulmonary bypass
5.2 Off‐pump surgery,5,299,"Risk Difference (M‐H, Fixed, 95% CI)","‐0.01 [‐0.05, 0.02]",Epidural analgesia compared with systemic analgesia,1,-0.01,-0.05,0.02,5,2,Respiratory complications: respiratory depression (0 to 30 days),Off‐pump surgery
5.3 With and without cardiopulmonary bypass,2,191,"Risk Difference (M‐H, Fixed, 95% CI)","0.01 [‐0.06, 0.08]",Epidural analgesia compared with systemic analgesia,1,0.01,-0.06,0.08,5,3,Respiratory complications: respiratory depression (0 to 30 days),With and without cardiopulmonary bypass
6 Respiratory complications: pneumonia (0 to 30 days) Show forest plot,10,1107,"Risk Difference (M‐H, Random, 95% CI)","‐0.03 [‐0.07, 0.01]",Epidural analgesia compared with systemic analgesia,1,-0.03,-0.07,0.01,6,,Respiratory complications: pneumonia (0 to 30 days),
6.1 With cardiopulmonary bypass,7,677,"Risk Difference (M‐H, Random, 95% CI)","‐0.03 [‐0.09, 0.04]",Epidural analgesia compared with systemic analgesia,1,-0.03,-0.09,0.04,6,1,Respiratory complications: pneumonia (0 to 30 days),With cardiopulmonary bypass
6.2 Off‐pump surgery,3,322,"Risk Difference (M‐H, Random, 95% CI)","‐0.02 [‐0.07, 0.04]",Epidural analgesia compared with systemic analgesia,1,-0.02,-0.07,0.04,6,2,Respiratory complications: pneumonia (0 to 30 days),Off‐pump surgery
6.3 With and without cardiopulmonary bypass,1,108,"Risk Difference (M‐H, Random, 95% CI)","‐0.05 [‐0.12, 0.01]",Epidural analgesia compared with systemic analgesia,1,-0.05,-0.12,0.01,6,3,Respiratory complications: pneumonia (0 to 30 days),With and without cardiopulmonary bypass
7 Atrial fibrillation or flutter within 2 weeks Show forest plot,18,2431,"Risk Difference (M‐H, Random, 95% CI)","‐0.06 [‐0.10, ‐0.01]",Epidural analgesia compared with systemic analgesia,1,-0.06,-0.1,-0.01,7,,Atrial fibrillation or flutter within 2 weeks,
7.1 With cardiopulmonary bypass,11,1118,"Risk Difference (M‐H, Random, 95% CI)","‐0.04 [‐0.08, 0.00]",Epidural analgesia compared with systemic analgesia,1,-0.04,-0.08,0.0,7,1,Atrial fibrillation or flutter within 2 weeks,With cardiopulmonary bypass
7.2 Off‐pump surgery,6,551,"Risk Difference (M‐H, Random, 95% CI)","‐0.09 [‐0.22, 0.03]",Epidural analgesia compared with systemic analgesia,1,-0.09,-0.22,0.03,7,2,Atrial fibrillation or flutter within 2 weeks,Off‐pump surgery
7.3 With and without cardiopulmonary bypass,2,762,"Risk Difference (M‐H, Random, 95% CI)","‐0.04 [‐0.11, 0.03]",Epidural analgesia compared with systemic analgesia,1,-0.04,-0.11,0.03,7,3,Atrial fibrillation or flutter within 2 weeks,With and without cardiopulmonary bypass
8 Neurological complications: cerebrovascular accident (0 to 30 days) Show forest plot,18,2232,"Risk Difference (M‐H, Fixed, 95% CI)","‐0.00 [‐0.01, 0.01]",Epidural analgesia compared with systemic analgesia,1,-0.0,-0.01,0.01,8,,Neurological complications: cerebrovascular accident (0 to 30 days),
8.1 With cardiopulmonary bypass,13,1067,"Risk Difference (M‐H, Fixed, 95% CI)","‐0.01 [‐0.02, 0.01]",Epidural analgesia compared with systemic analgesia,1,-0.01,-0.02,0.01,8,1,Neurological complications: cerebrovascular accident (0 to 30 days),With cardiopulmonary bypass
8.2 Off‐pump surgery,4,403,"Risk Difference (M‐H, Fixed, 95% CI)","‐0.00 [‐0.03, 0.03]",Epidural analgesia compared with systemic analgesia,1,-0.0,-0.03,0.03,8,2,Neurological complications: cerebrovascular accident (0 to 30 days),Off‐pump surgery
8.3 With and without cardiopulmonary bypass,2,762,"Risk Difference (M‐H, Fixed, 95% CI)","0.00 [‐0.01, 0.01]",Epidural analgesia compared with systemic analgesia,1,0.0,-0.01,0.01,8,3,Neurological complications: cerebrovascular accident (0 to 30 days),With and without cardiopulmonary bypass
9 Neurological complications: epidural haematoma (0 to 30 days) Show forest plot,53,3982,"Risk Difference (M‐H, Fixed, 95% CI)","0.0 [‐0.01, 0.01]",Epidural analgesia compared with systemic analgesia,1,0.0,-0.01,0.01,9,,Neurological complications: epidural haematoma (0 to 30 days),
9.1 With cardiopulmonary bypass,39,2231,"Risk Difference (M‐H, Fixed, 95% CI)","0.0 [‐0.01, 0.01]",Epidural analgesia compared with systemic analgesia,1,0.0,-0.01,0.01,9,1,Neurological complications: epidural haematoma (0 to 30 days),With cardiopulmonary bypass
9.2 Off‐pump surgery,10,841,"Risk Difference (M‐H, Fixed, 95% CI)","0.0 [‐0.02, 0.02]",Epidural analgesia compared with systemic analgesia,1,0.0,-0.02,0.02,9,2,Neurological complications: epidural haematoma (0 to 30 days),Off‐pump surgery
9.3 With and without cardiopulmonary bypass,4,910,"Risk Difference (M‐H, Fixed, 95% CI)","0.0 [‐0.01, 0.01]",Epidural analgesia compared with systemic analgesia,1,0.0,-0.01,0.01,9,3,Neurological complications: epidural haematoma (0 to 30 days),With and without cardiopulmonary bypass
10 Duration of tracheal intubation Show forest plot,40,3353,"Std. Mean Difference (Random, 95% CI)","‐0.78 [‐1.01, ‐0.55]",Epidural analgesia compared with systemic analgesia,1,-0.78,-1.01,-0.55,10,,Duration of tracheal intubation,
10.1 Cardiopulmonary bypass,27,1570,"Std. Mean Difference (Random, 95% CI)","‐0.75 [‐1.03, ‐0.47]",Epidural analgesia compared with systemic analgesia,1,-0.75,-1.03,-0.47,10,1,Duration of tracheal intubation,Cardiopulmonary bypass
10.2 Off‐pump surgery,11,943,"Std. Mean Difference (Random, 95% CI)","‐0.90 [‐1.38, ‐0.41]",Epidural analgesia compared with systemic analgesia,1,-0.9,-1.38,-0.41,10,2,Duration of tracheal intubation,Off‐pump surgery
10.3 With and without cardiopulmonary bypass,3,840,"Std. Mean Difference (Random, 95% CI)","‐0.60 [‐1.42, 0.23]",Epidural analgesia compared with systemic analgesia,1,-0.6,-1.42,0.23,10,3,Duration of tracheal intubation,With and without cardiopulmonary bypass
11 Duration of tracheal intubation in hours (for studies for which means and standard deviations could be extracted) Show forest plot,33,2062,"Mean Difference (IV, Random, 95% CI)","‐2.91 [‐3.61, ‐2.21]",Epidural analgesia compared with systemic analgesia,1,-2.91,-3.61,-2.21,11,,Duration of tracheal intubation in hours (for studies for which means and standard deviations could be extracted),
11.1 With cardiopulmonary bypass,23,1249,"Mean Difference (IV, Random, 95% CI)","‐3.23 [‐4.30, ‐2.17]",Epidural analgesia compared with systemic analgesia,1,-3.23,-4.3,-2.17,11,1,Duration of tracheal intubation in hours (for studies for which means and standard deviations could be extracted),With cardiopulmonary bypass
11.2 Off‐pump surgery,9,627,"Mean Difference (IV, Random, 95% CI)","‐1.87 [‐3.36, ‐0.37]",Epidural analgesia compared with systemic analgesia,1,-1.87,-3.36,-0.37,11,2,Duration of tracheal intubation in hours (for studies for which means and standard deviations could be extracted),Off‐pump surgery
11.3 With and without cardiopulmonary bypass,2,186,"Mean Difference (IV, Random, 95% CI)","‐4.42 [‐5.62, ‐3.22]",Epidural analgesia compared with systemic analgesia,1,-4.42,-5.62,-3.22,11,3,Duration of tracheal intubation in hours (for studies for which means and standard deviations could be extracted),With and without cardiopulmonary bypass
12 Pain at rest at 6 to 8 hours after surgery Show forest plot,10,502,"Std. Mean Difference (Random, 95% CI)","‐1.35 [‐1.98, ‐0.72]",Epidural analgesia compared with systemic analgesia,1,-1.35,-1.98,-0.72,12,,Pain at rest at 6 to 8 hours after surgery,
12.1 With cardiopulmonary bypass,7,320,"Std. Mean Difference (Random, 95% CI)","‐0.83 [‐1.16, ‐0.50]",Epidural analgesia compared with systemic analgesia,1,-0.83,-1.16,-0.5,12,1,Pain at rest at 6 to 8 hours after surgery,With cardiopulmonary bypass
12.2 Off‐pump surgery,3,182,"Std. Mean Difference (Random, 95% CI)","‐2.99 [‐5.37, ‐0.60]",Epidural analgesia compared with systemic analgesia,1,-2.99,-5.37,-0.6,12,2,Pain at rest at 6 to 8 hours after surgery,Off‐pump surgery
13 Pain at rest at 6 to 8 hours: data available as means and standard deviations Show forest plot,5,272,"Mean Difference (IV, Random, 95% CI)","‐2.26 [‐4.84, 0.32]",Epidural analgesia compared with systemic analgesia,1,-2.26,-4.84,0.32,13,,Pain at rest at 6 to 8 hours: data available as means and standard deviations,
13.1 With cardiopulmonary bypass,2,90,"Mean Difference (IV, Random, 95% CI)","‐1.59 [‐3.15, ‐0.03]",Epidural analgesia compared with systemic analgesia,1,-1.59,-3.15,-0.03,13,1,Pain at rest at 6 to 8 hours: data available as means and standard deviations,With cardiopulmonary bypass
