Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
"1 Incidence of typhoid fever, year 1 Show forest plot",4,76296,"Risk Ratio (M‐H, Random, 95% CI)","0.55 [0.35, 0.86]",Ty21a vaccine (3 doses) versus control: efficacy,1,0.55,0.35,0.86,1,,"Incidence of typhoid fever, year 1",
"2 Incidence of typhoid fever, year 2 Show forest plot",4,76296,"Risk Ratio (M‐H, Random, 95% CI)","0.41 [0.29, 0.57]",Ty21a vaccine (3 doses) versus control: efficacy,1,0.41,0.29,0.57,2,,"Incidence of typhoid fever, year 2",
"3 Incidence of typhoid fever, year 3 Show forest plot",4,76296,"Risk Ratio (M‐H, Random, 95% CI)","0.44 [0.25, 0.76]",Ty21a vaccine (3 doses) versus control: efficacy,1,0.44,0.25,0.76,3,,"Incidence of typhoid fever, year 3",
4 Cumulative incidence of typhoid fever at 2.5 to 3 years Show forest plot,9,235239,"Risk Ratio (M‐H, Random, 95% CI)","0.50 [0.39, 0.65]",Ty21a vaccine (3 doses) versus control: efficacy,1,0.5,0.39,0.65,4,,Cumulative incidence of typhoid fever at 2.5 to 3 years,
1 Cumulative incidence of typhoid fever at 2.5 to 3 years Show forest plot,2,80127,"Risk Ratio (M‐H, Random, 95% CI)","0.54 [0.24, 1.23]",Ty21a vaccine: liquid formulation versus enteric capsules (3 doses),2,0.54,0.24,1.23,1,,Cumulative incidence of typhoid fever at 2.5 to 3 years,
1 Incidence of typhoid fever Show forest plot,2,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Ty21a vaccine: enteric versus gelatin formulation; cumulative efficacy at 2.5 to 3 years,3,,,,1,,Incidence of typhoid fever,
1 Fever Show forest plot,4,2066,"Risk Ratio (M‐H, Random, 95% CI)","1.84 [1.02, 3.31]",Ty21a vaccine versus control: adverse events,4,1.84,1.02,3.31,1,,Fever,
2 Vomiting Show forest plot,4,2066,"Risk Ratio (M‐H, Random, 95% CI)","1.15 [0.43, 3.05]",Ty21a vaccine versus control: adverse events,4,1.15,0.43,3.05,2,,Vomiting,
3 Diarrhoea Show forest plot,4,2066,"Risk Ratio (M‐H, Random, 95% CI)","0.80 [0.52, 1.24]",Ty21a vaccine versus control: adverse events,4,0.8,0.52,1.24,3,,Diarrhoea,
4 Nausea or abdominal pain Show forest plot,4,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Ty21a vaccine versus control: adverse events,4,,,,4,,Nausea or abdominal pain,
4.1 Enteric capsules,2,1141,"Risk Ratio (M‐H, Random, 95% CI)","2.92 [1.53, 5.57]",Ty21a vaccine versus control: adverse events,4,2.92,1.53,5.57,4,1,Nausea or abdominal pain,Enteric capsules
4.2 Liquid formulation,1,588,"Risk Ratio (M‐H, Random, 95% CI)","1.84 [0.90, 3.77]",Ty21a vaccine versus control: adverse events,4,1.84,0.9,3.77,4,2,Nausea or abdominal pain,Liquid formulation
4.3 In milk with sodium bicarbonate,1,337,"Risk Ratio (M‐H, Random, 95% CI)","0.66 [0.39, 1.13]",Ty21a vaccine versus control: adverse events,4,0.66,0.39,1.13,4,3,Nausea or abdominal pain,In milk with sodium bicarbonate
5 Headache Show forest plot,2,1190,"Risk Ratio (M‐H, Random, 95% CI)","1.31 [0.76, 2.27]",Ty21a vaccine versus control: adverse events,4,1.31,0.76,2.27,5,,Headache,
6 Rash Show forest plot,2,1190,"Risk Ratio (M‐H, Random, 95% CI)","2.94 [0.61, 14.12]",Ty21a vaccine versus control: adverse events,4,2.94,0.61,14.12,6,,Rash,
7 Any mild adverse event Show forest plot,3,1360,"Risk Ratio (M‐H, Random, 95% CI)","1.67 [1.03, 2.72]",Ty21a vaccine versus control: adverse events,4,1.67,1.03,2.72,7,,Any mild adverse event,
