Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Subjective measure of sleep quality Show forest plot,3,489,"Std. Mean Difference (IV, Random, 95% CI)","0.04 [‐0.42, 0.50]",Selective serotonin reuptake inhibitors (SSRI) versus other antidepressants,1,0.04,-0.42,0.5,1,,Subjective measure of sleep quality,
2 Adverse events Show forest plot,3,490,"Risk Ratio (M‐H, Random, 95% CI)","1.36 [0.76, 2.44]",Selective serotonin reuptake inhibitors (SSRI) versus other antidepressants,1,1.36,0.76,2.44,2,,Adverse events,
3 Sleep efficiency Show forest plot,2,157,"Mean Difference (IV, Random, 95% CI)","‐7.55 [‐10.54, ‐4.56]",Selective serotonin reuptake inhibitors (SSRI) versus other antidepressants,1,-7.55,-10.54,-4.56,3,,Sleep efficiency,
1 Subjective measure of sleep quality Show forest plot,4,518,"Std. Mean Difference (IV, Random, 95% CI)","‐0.39 [‐0.56, ‐0.21]",Tricyclic antidepressants (TCA) versus placebo,2,-0.39,-0.56,-0.21,1,,Subjective measure of sleep quality,
2 Subjective total sleep time Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Tricyclic antidepressants (TCA) versus placebo,2,,,,2,,Subjective total sleep time,
2.1 End of follow‐up,2,469,"Mean Difference (IV, Random, 95% CI)","31.68 [‐12.40, 75.77]",Tricyclic antidepressants (TCA) versus placebo,2,31.68,-12.4,75.77,2,1,Subjective total sleep time,End of follow‐up
2.2 4‐week follow‐up,2,469,"Mean Difference (IV, Random, 95% CI)","22.98 [‐4.98, 50.93]",Tricyclic antidepressants (TCA) versus placebo,2,22.98,-4.98,50.93,2,2,Subjective total sleep time,4‐week follow‐up
3 Adverse events Show forest plot,6,812,"Risk Ratio (M‐H, Random, 95% CI)","1.02 [0.86, 1.21]",Tricyclic antidepressants (TCA) versus placebo,2,1.02,0.86,1.21,3,,Adverse events,
4 Sleep latency Show forest plot,4,510,"Mean Difference (IV, Random, 95% CI)","‐4.27 [‐9.01, 0.48]",Tricyclic antidepressants (TCA) versus placebo,2,-4.27,-9.01,0.48,4,,Sleep latency,
5 Sleep efficiency Show forest plot,4,510,"Mean Difference (IV, Random, 95% CI)","6.29 [3.17, 9.41]",Tricyclic antidepressants (TCA) versus placebo,2,6.29,3.17,9.41,5,,Sleep efficiency,
6 Total sleep time Show forest plot,4,510,"Mean Difference (IV, Random, 95% CI)","22.88 [13.17, 32.59]",Tricyclic antidepressants (TCA) versus placebo,2,22.88,13.17,32.59,6,,Total sleep time,
7 Waking time after sleep onset Show forest plot,3,473,"Mean Difference (IV, Random, 95% CI)","‐14.63 [‐25.99, ‐3.27]",Tricyclic antidepressants (TCA) versus placebo,2,-14.63,-25.99,-3.27,7,,Waking time after sleep onset,
8 Rapid eye movement latency latency Show forest plot,2,77,"Mean Difference (IV, Random, 95% CI)","26.37 [7.94, 44.80]",Tricyclic antidepressants (TCA) versus placebo,2,26.37,7.94,44.8,8,,Rapid eye movement latency latency,
1 Subjective measure of sleep quality Show forest plot,3,370,"Std. Mean Difference (IV, Random, 95% CI)","‐0.34 [‐0.66, ‐0.02]",Other antidepressants versus placebo,3,-0.34,-0.66,-0.02,1,,Subjective measure of sleep quality,
2 Number of nocturnal awakenings Show forest plot,2,277,"Mean Difference (IV, Random, 95% CI)","‐0.31 [‐0.52, ‐0.11]",Other antidepressants versus placebo,3,-0.31,-0.52,-0.11,2,,Number of nocturnal awakenings,
3 Sleep efficiency Show forest plot,2,169,"Mean Difference (IV, Random, 95% CI)","1.38 [‐2.87, 5.63]",Other antidepressants versus placebo,3,1.38,-2.87,5.63,3,,Sleep efficiency,
1 Subjective measure of sleep quality Show forest plot,4,518,"Std. Mean Difference (IV, Random, 95% CI)","‐0.39 [‐0.56, ‐0.21]",Subgroup analysis ‐ low dose compared to not low dose,4,-0.39,-0.56,-0.21,1,,Subjective measure of sleep quality,
1.1 Not low dose,1,37,"Std. Mean Difference (IV, Random, 95% CI)","‐0.69 [‐1.36, ‐0.02]",Subgroup analysis ‐ low dose compared to not low dose,4,-0.69,-1.36,-0.02,1,1,Subjective measure of sleep quality,Not low dose
1.2 Low dose,3,481,"Std. Mean Difference (IV, Random, 95% CI)","‐0.36 [‐0.55, ‐0.18]",Subgroup analysis ‐ low dose compared to not low dose,4,-0.36,-0.55,-0.18,1,2,Subjective measure of sleep quality,Low dose
