reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason
CD012009-bib-0001,"Araki M, Yasuda T, Yoshioka Y, Nakata Y, Ishikawa H, Yamazaki M, et al. ",Utility of drain fluid amylase measurement on the third postoperative day after pancreaticoduodenectomy, Pancreas ,2012,41,    ,['citation-journal']," Araki M, Yasuda T, Yoshioka Y, Nakata Y, Ishikawa H, Yamazaki M, et al. Utility of drain fluid amylase measurement on the third postoperative day after pancreaticoduodenectomy.  Pancreas 2012;41(8):1347. CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Utility+of+drain+fluid+amylase+measurement+on+the+third+postoperative+day+after+pancreaticoduodenectomy&author=M+Araki&author=T+Yasuda&author=Y+Yoshioka&author=Y+Nakata&author=H+Ishikawa&author=M+Yamazaki&publication_year=2012&hl=en']",,, Araki 2012 {published data only}  ,included,CD012009-bbs2-0001,
CD012009-bib-0002,"Araki M, Yasuda T, Yoshioka Y, Nakata Y, Ishikawa H, Yamazaki M, et al. ",Utility of drain fluid amylase measurement on the third postoperative day after pancreaticoduodenectomy, Pancreatology ,2013,13,    ,['citation-journal']," Araki M, Yasuda T, Yoshioka Y, Nakata Y, Ishikawa H, Yamazaki M, et al. Utility of drain fluid amylase measurement on the third postoperative day after pancreaticoduodenectomy.  Pancreatology 2013;13(2):e14. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/j.pan.2012.12.102', 'https://scholar.google.com/scholar_lookup?title=Utility+of+drain+fluid+amylase+measurement+on+the+third+postoperative+day+after+pancreaticoduodenectomy&author=M+Araki&author=T+Yasuda&author=Y+Yoshioka&author=Y+Nakata&author=H+Ishikawa&author=M+Yamazaki&publication_year=2013&hl=en']",,https://doi.org/10.1016/j.pan.2012.12.102, Araki 2012 {published data only}  ,included,CD012009-bbs2-0001,
CD012009-bib-0003,"El Nakeeb A, Salah T, Sultan A, El Hemaly M, Askr W, Ezzat H, et al. ","Pancreatic anastomotic leakage after pancreaticoduodenectomy. Risk factors, clinical predictors, and management (single center experience)", World Journal of Surgery ,2013,37,    ,['citation-journal']," El Nakeeb A, Salah T, Sultan A, El Hemaly M, Askr W, Ezzat H, et al. Pancreatic anastomotic leakage after pancreaticoduodenectomy. Risk factors, clinical predictors, and management (single center experience).  World Journal of Surgery 2013;37(6):1405‐18. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1007/s00268-013-1998-5', 'https://www.ncbi.nlm.nih.gov/pubmed/23494109', 'https://scholar.google.com/scholar_lookup?title=Pancreatic+anastomotic+leakage+after+pancreaticoduodenectomy.+Risk+factors,+clinical+predictors,+and+management+(single+center+experience)+&author=A+Nakeeb&author=T+Salah&author=A+Sultan&author=M+Hemaly&author=W+Askr&author=H+Ezzat&publication_year=2013&hl=en']",23494109,https://doi.org/10.1007/s00268-013-1998-5, El Nakeeb 2013 {published data only}  ,included,CD012009-bbs2-0002,
CD012009-bib-0004,"El‐Hanafy E, Askr W. ","Pancreatic anastomotic leakage after pancreaticoduodenectomy. Risk factors, clinical predictors and patients outcomes", HPB : the Official Journal of the International Hepato Pancreato Biliary Association ,2014,16,    ,['citation-journal']," El‐Hanafy E, Askr W. Pancreatic anastomotic leakage after pancreaticoduodenectomy. Risk factors, clinical predictors and patients outcomes.  HPB : the Official Journal of the International Hepato Pancreato Biliary Association 2014;16:294. CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Pancreatic+anastomotic+leakage+after+pancreaticoduodenectomy.+Risk+factors,+clinical+predictors+and+patients+outcomes+&author=E+El‐Hanafy&author=W+Askr&publication_year=2014&hl=en']",,, El Nakeeb 2013 {published data only}  ,included,CD012009-bbs2-0002,
CD012009-bib-0005,"Facy O, Chalumeau C, Poussier M, Binquet C, Rat P, Ortega‐Deballon P. ",Diagnosis of postoperative pancreatic fistula, British Journal of Surgery ,2012,99,    ,['citation-journal']," Facy O, Chalumeau C, Poussier M, Binquet C, Rat P, Ortega‐Deballon P. Diagnosis of postoperative pancreatic fistula.  British Journal of Surgery 2012;99(8):1072‐5. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1002/bjs.8774', 'https://scholar.google.com/scholar_lookup?title=Diagnosis+of+postoperative+pancreatic+fistula&author=O+Facy&author=C+Chalumeau&author=M+Poussier&author=C+Binquet&author=P+Rat&author=P+Ortega‐Deballon&publication_year=2012&hl=en']",,https://doi.org/10.1002/bjs.8774, Facy 2012 {published data only}  ,included,CD012009-bbs2-0003,
CD012009-bib-0006,"Kong J, Gananadha S, Hugh TJ, Samra JS. ",Pancreatoduodenectomy: Role of drain fluid analysis in the management of pancreatic fistula, ANZ Journal of Surgery ,2008,78,    ,['citation-journal']," Kong J, Gananadha S, Hugh TJ, Samra JS. Pancreatoduodenectomy: Role of drain fluid analysis in the management of pancreatic fistula.  ANZ Journal of Surgery 2008;78(4):240‐4. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1111/j.1445-2197.2008.04428.x', 'https://www.ncbi.nlm.nih.gov/pubmed/18366393', 'https://scholar.google.com/scholar_lookup?title=Pancreatoduodenectomy:+Role+of+drain+fluid+analysis+in+the+management+of+pancreatic+fistula+&author=J+Kong&author=S+Gananadha&author=TJ+Hugh&author=JS+Samra&publication_year=2008&hl=en']",18366393,https://doi.org/10.1111/j.1445-2197.2008.04428.x, Kong 2008 {published data only}  ,included,CD012009-bbs2-0004,
CD012009-bib-0007,"Kosaka H, Kuroda N, Suzumura K, Asano Y, Okada T, Fujimoto J. ",Multivariate logistic regression analysis for prediction of clinically relevant pancreatic fistula in the early phase after pancreaticoduodenectomy, Journal of Hepato‐biliary‐pancreatic Sciences ,2014,21,    ,['citation-journal']," Kosaka H, Kuroda N, Suzumura K, Asano Y, Okada T, Fujimoto J. Multivariate logistic regression analysis for prediction of clinically relevant pancreatic fistula in the early phase after pancreaticoduodenectomy.  Journal of Hepato‐biliary‐pancreatic Sciences 2014;21(2):128‐33. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1002/jhbp.11', 'https://www.ncbi.nlm.nih.gov/pubmed/23804410', 'https://scholar.google.com/scholar_lookup?title=Multivariate+logistic+regression+analysis+for+prediction+of+clinically+relevant+pancreatic+fistula+in+the+early+phase+after+pancreaticoduodenectomy+&author=H+Kosaka&author=N+Kuroda&author=K+Suzumura&author=Y+Asano&author=T+Okada&author=J+Fujimoto&publication_year=2014&hl=en']",23804410,https://doi.org/10.1002/jhbp.11, Kosaka 2014 {published data only}  ,included,CD012009-bbs2-0005,
CD012009-bib-0008,"Ansorge C, Nordin J, Strommer L, Lundell L, Rangelova E, Blomberg J, et al. ",The diagnostic value of pancreatic amylase analyses from prophylactic abdominal drainage in identifying pancreatic fistula following pancreaticoduodenectomy, Pancreatology ,2013,13,    ,['citation-journal']," Ansorge C, Nordin J, Strommer L, Lundell L, Rangelova E, Blomberg J, et al. The diagnostic value of pancreatic amylase analyses from prophylactic abdominal drainage in identifying pancreatic fistula following pancreaticoduodenectomy.  Pancreatology 2013;13(3 Suppl):S82. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/j.pan.2013.04.286', 'https://scholar.google.com/scholar_lookup?title=The+diagnostic+value+of+pancreatic+amylase+analyses+from+prophylactic+abdominal+drainage+in+identifying+pancreatic+fistula+following+pancreaticoduodenectomy+&author=C+Ansorge&author=J+Nordin&author=L+Strommer&author=L+Lundell&author=E+Rangelova&author=J+Blomberg&publication_year=2013&hl=en']",,https://doi.org/10.1016/j.pan.2013.04.286, Ansorge 2014 {published data only}  ,excluded,CD012009-bbs2-0006, No diagnostic test accuracy data using appropriate reference standard 
CD012009-bib-0009,"Ansorge C, Nordin JZ, Lundell L, Strommer L, Rangelova E, Blomberg J, et al. ",Diagnostic value of abdominal drainage in individual risk assessment of pancreatic fistula following pancreaticoduodenectomy, British Journal of Surgery ,2014,101,    ,['citation-journal']," Ansorge C, Nordin JZ, Lundell L, Strommer L, Rangelova E, Blomberg J, et al. Diagnostic value of abdominal drainage in individual risk assessment of pancreatic fistula following pancreaticoduodenectomy.  British Journal of Surgery 2014;101(2):100‐8. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1002/bjs.9362', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+value+of+abdominal+drainage+in+individual+risk+assessment+of+pancreatic+fistula+following+pancreaticoduodenectomy+&author=C+Ansorge&author=JZ+Nordin&author=L+Lundell&author=L+Strommer&author=E+Rangelova&author=J+Blomberg&publication_year=2014&hl=en']",,https://doi.org/10.1002/bjs.9362, Ansorge 2014 {published data only}  ,excluded,CD012009-bbs2-0006, No diagnostic test accuracy data using appropriate reference standard 
CD012009-bib-0010,"Segersvard R, Blomberg J, Del Chiaro M, Rangelova E, Ansorge C. ",The diagnostic value of abdominal drainage in the individual risk assessment for pancreatic fistula following pancreaticoduodenectomy, Pancreatology ,2013,13,    ,['citation-journal']," Segersvard R, Blomberg J, Del Chiaro M, Rangelova E, Ansorge C. The diagnostic value of abdominal drainage in the individual risk assessment for pancreatic fistula following pancreaticoduodenectomy.  Pancreatology 2013;13(4 Suppl):S8‐9. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/j.pan.2013.07.083', 'https://scholar.google.com/scholar_lookup?title=The+diagnostic+value+of+abdominal+drainage+in+the+individual+risk+assessment+for+pancreatic+fistula+following+pancreaticoduodenectomy+&author=R+Segersvard&author=J+Blomberg&author=M+Chiaro&author=E+Rangelova&author=C+Ansorge&publication_year=2013&hl=en']",,https://doi.org/10.1016/j.pan.2013.07.083, Ansorge 2014 {published data only}  ,excluded,CD012009-bbs2-0006, No diagnostic test accuracy data using appropriate reference standard 
