reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason
CD009135-bib-0001,"Boelaert M, Rijal S, Regmi S, Singh R, Karki B, Jacquet D, et al. ",A comparative study of the effectiveness of diagnostic tests for visceral leishmaniasis, American Journal of Tropical Medicine and Hygiene ,2004,70,    ,['citation-journal']," Boelaert M, Rijal S, Regmi S, Singh R, Karki B, Jacquet D, et al. A comparative study of the effectiveness of diagnostic tests for visceral leishmaniasis.  American Journal of Tropical Medicine and Hygiene 2004;70(1):72‐7.    Link to article     Google Scholar     ","['https://doi.org/10.4269/ajtmh.2004.70.72', 'https://scholar.google.com/scholar_lookup?title=A+comparative+study+of+the+effectiveness+of+diagnostic+tests+for+visceral+leishmaniasis&author=M+Boelaert&author=S+Rijal&author=S+Regmi&author=R+Singh&author=B+Karki&author=D+Jacquet&publication_year=2004&hl=en']",,https://doi.org/10.4269/ajtmh.2004.70.72, Boelaert 2004 ‐ classic {published data only}  ,included,CD009135-bbs2-0001,
CD009135-bib-0002,"Boelaert M, Rijal S, Regmi S, Singh R, Karki B, Jacquet D, et al. ",A comparative study of the effectiveness of diagnostic tests for visceral leishmaniasis, American Journal of Tropical Medicine and Hygiene ,2004,70,    ,['citation-journal']," Boelaert M, Rijal S, Regmi S, Singh R, Karki B, Jacquet D, et al. A comparative study of the effectiveness of diagnostic tests for visceral leishmaniasis.  American Journal of Tropical Medicine and Hygiene 2004;70(1):72‐7.    Link to article     Google Scholar     ","['https://doi.org/10.4269/ajtmh.2004.70.72', 'https://scholar.google.com/scholar_lookup?title=A+comparative+study+of+the+effectiveness+of+diagnostic+tests+for+visceral+leishmaniasis&author=M+Boelaert&author=S+Rijal&author=S+Regmi&author=R+Singh&author=B+Karki&author=D+Jacquet&publication_year=2004&hl=en']",,https://doi.org/10.4269/ajtmh.2004.70.72, Boelaert 2004 ‐ LCA {published data only}  ,included,CD009135-bbs2-0002,
CD009135-bib-0003,"Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. ","Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent", Transactions of the Royal Society of Tropical Medicine and Hygiene ,2008,102,    ,['citation-journal']," Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent.  Transactions of the Royal Society of Tropical Medicine and Hygiene 2008;102(1):32‐40.    Link to article     Google Scholar     ","['https://doi.org/10.1016/j.trstmh.2007.09.003', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+tests+for+kala‐azar:+a+multi‐centre+study+of+the+freeze‐dried+DAT,+rK39+strip+test+and+KAtex+in+East+Africa+and+the+Indian+subcontinent+&author=M+Boelaert&author=S+El‐Safi&author=A+Hailu&author=M+Mukhtar&author=S+Rijal&author=S+Sundar&publication_year=2008&hl=en']",,https://doi.org/10.1016/j.trstmh.2007.09.003, Boelaert 2008 ‐ Ethiopia {published data only}  ,included,CD009135-bbs2-0003,
CD009135-bib-0004,"Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. ","Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent", Transactions of the Royal Society of Tropical Medicine and Hygiene ,2008,102,    ,['citation-journal']," Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent.  Transactions of the Royal Society of Tropical Medicine and Hygiene 2008;102(1):32‐40.    Link to article     Google Scholar     ","['https://doi.org/10.1016/j.trstmh.2007.09.003', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+tests+for+kala‐azar:+a+multi‐centre+study+of+the+freeze‐dried+DAT,+rK39+strip+test+and+KAtex+in+East+Africa+and+the+Indian+subcontinent+&author=M+Boelaert&author=S+El‐Safi&author=A+Hailu&author=M+Mukhtar&author=S+Rijal&author=S+Sundar&publication_year=2008&hl=en']",,https://doi.org/10.1016/j.trstmh.2007.09.003, Boelaert 2008 ‐ India {published data only}  ,included,CD009135-bbs2-0004,
CD009135-bib-0005,"Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. ","Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent", Transactions of the Royal Society of Tropical Medicine and Hygiene ,2008,102,    ,['citation-journal']," Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent.  Transactions of the Royal Society of Tropical Medicine and Hygiene 2008;102(1):32‐40.    Link to article     Google Scholar     ","['https://doi.org/10.1016/j.trstmh.2007.09.003', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+tests+for+kala‐azar:+a+multi‐centre+study+of+the+freeze‐dried+DAT,+rK39+strip+test+and+KAtex+in+East+Africa+and+the+Indian+subcontinent+&author=M+Boelaert&author=S+El‐Safi&author=A+Hailu&author=M+Mukhtar&author=S+Rijal&author=S+Sundar&publication_year=2008&hl=en']",,https://doi.org/10.1016/j.trstmh.2007.09.003, Boelaert 2008 ‐ Kenya {published data only}  ,included,CD009135-bbs2-0005,
CD009135-bib-0006,"Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. ","Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent", Transactions of the Royal Society of Tropical Medicine and Hygiene ,2008,102,    ,['citation-journal']," Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent.  Transactions of the Royal Society of Tropical Medicine and Hygiene 2008;102(1):32‐40.    Link to article     Google Scholar     ","['https://doi.org/10.1016/j.trstmh.2007.09.003', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+tests+for+kala‐azar:+a+multi‐centre+study+of+the+freeze‐dried+DAT,+rK39+strip+test+and+KAtex+in+East+Africa+and+the+Indian+subcontinent+&author=M+Boelaert&author=S+El‐Safi&author=A+Hailu&author=M+Mukhtar&author=S+Rijal&author=S+Sundar&publication_year=2008&hl=en']",,https://doi.org/10.1016/j.trstmh.2007.09.003, Boelaert 2008 ‐ Nepal {published data only}  ,included,CD009135-bbs2-0006,
CD009135-bib-0007,"Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. ","Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent", Transactions of the Royal Society of Tropical Medicine and Hygiene ,2008,102,    ,['citation-journal']," Boelaert M, El‐Safi S, Hailu A, Mukhtar M, Rijal S, Sundar S, et al. Diagnostic tests for kala‐azar: a multi‐centre study of the freeze‐dried DAT, rK39 strip test and KAtex in East Africa and the Indian subcontinent.  Transactions of the Royal Society of Tropical Medicine and Hygiene 2008;102(1):32‐40.    Link to article     Google Scholar     ","['https://doi.org/10.1016/j.trstmh.2007.09.003', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+tests+for+kala‐azar:+a+multi‐centre+study+of+the+freeze‐dried+DAT,+rK39+strip+test+and+KAtex+in+East+Africa+and+the+Indian+subcontinent+&author=M+Boelaert&author=S+El‐Safi&author=A+Hailu&author=M+Mukhtar&author=S+Rijal&author=S+Sundar&publication_year=2008&hl=en']",,https://doi.org/10.1016/j.trstmh.2007.09.003, Boelaert 2008 ‐ Sudan {published data only}  ,included,CD009135-bbs2-0007,
CD009135-bib-0008,"Chappuis F, Rijal S, Singh R, Acharya P, Karki BM, Das ML, et al. ",Prospective evaluation and comparison of the direct agglutination test and an rK39‐antigen‐based dipstick test for the diagnosis of suspected kala‐azar in Nepal, Tropical Medicine & International Health : TM & IH ,2003,8,    ,['citation-journal']," Chappuis F, Rijal S, Singh R, Acharya P, Karki BM, Das ML, et al. Prospective evaluation and comparison of the direct agglutination test and an rK39‐antigen‐based dipstick test for the diagnosis of suspected kala‐azar in Nepal.  Tropical Medicine & International Health : TM & IH 2003;8(3):277‐85.    Link to article     Google Scholar     ","['https://doi.org/10.1046/j.1365-3156.2003.01026.x', 'https://scholar.google.com/scholar_lookup?title=Prospective+evaluation+and+comparison+of+the+direct+agglutination+test+and+an+rK39‐antigen‐based+dipstick+test+for+the+diagnosis+of+suspected+kala‐azar+in+Nepal+&author=F+Chappuis&author=S+Rijal&author=R+Singh&author=P+Acharya&author=BM+Karki&author=ML+Das&publication_year=2003&hl=en']",,https://doi.org/10.1046/j.1365-3156.2003.01026.x, Chappuis 2003 {published data only}  ,included,CD009135-bbs2-0008,
CD009135-bib-0009,"Chappuis F, Mueller Y, Nguimfack A, Rwakimari JB, Couffignal S, Boelaert M, et al. ",Diagnostic accuracy of two rK39 antigen‐based dipsticks and the formol gel test for rapid diagnosis of visceral leishmaniasis in northeastern Uganda, Journal of Clinical Microbiology ,2005,43,    ,['citation-journal']," Chappuis F, Mueller Y, Nguimfack A, Rwakimari JB, Couffignal S, Boelaert M, et al. Diagnostic accuracy of two rK39 antigen‐based dipsticks and the formol gel test for rapid diagnosis of visceral leishmaniasis in northeastern Uganda.  Journal of Clinical Microbiology 2005;43(12):5973‐7.    Link to article     Google Scholar     ","['https://doi.org/10.1128/JCM.43.12.5973-5977.2005', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+accuracy+of+two+rK39+antigen‐based+dipsticks+and+the+formol+gel+test+for+rapid+diagnosis+of+visceral+leishmaniasis+in+northeastern+Uganda+&author=F+Chappuis&author=Y+Mueller&author=A+Nguimfack&author=JB+Rwakimari&author=S+Couffignal&author=M+Boelaert&publication_year=2005&hl=en']",,https://doi.org/10.1128/JCM.43.12.5973-5977.2005, Chappuis 2005 ‐ DiaMed {published data only}  ,included,CD009135-bbs2-0009,
CD009135-bib-0010,"Chappuis F, Mueller Y, Nguimfack A, Rwakimari JB, Couffignal S, Boelaert M, et al. ",Diagnostic accuracy of two rK39 antigen‐based dipsticks and the formol gel test for rapid diagnosis of visceral leishmaniasis in northeastern Uganda, Journal of Clinical Microbiology ,2005,43,    ,['citation-journal']," Chappuis F, Mueller Y, Nguimfack A, Rwakimari JB, Couffignal S, Boelaert M, et al. Diagnostic accuracy of two rK39 antigen‐based dipsticks and the formol gel test for rapid diagnosis of visceral leishmaniasis in northeastern Uganda.  Journal of Clinical Microbiology 2005;43(12):5973‐7.    Link to article     Google Scholar     ","['https://doi.org/10.1128/JCM.43.12.5973-5977.2005', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+accuracy+of+two+rK39+antigen‐based+dipsticks+and+the+formol+gel+test+for+rapid+diagnosis+of+visceral+leishmaniasis+in+northeastern+Uganda+&author=F+Chappuis&author=Y+Mueller&author=A+Nguimfack&author=JB+Rwakimari&author=S+Couffignal&author=M+Boelaert&publication_year=2005&hl=en']",,https://doi.org/10.1128/JCM.43.12.5973-5977.2005, Chappuis 2005 ‐ InBios {published data only}  ,included,CD009135-bbs2-0010,
