reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason
CD010038-bib-0001,"Bartu A, Sharp J, Ludlow J, Doherty DA. ",Postnatal home visiting for illicit drug‐using mothers and their infants: a randomised controlled trial, Australian and New Zealand Journal of Obstetrics and Gynaecology ,2006,46,    ,['citation-journal']," Bartu A, Sharp J, Ludlow J, Doherty DA. Postnatal home visiting for illicit drug‐using mothers and their infants: a randomised controlled trial.  Australian and New Zealand Journal of Obstetrics and Gynaecology 2006;46(5):419‐26. [DOI: 10.1111/j.1479‐828X.2006.00628.x]    Link to article     Google Scholar     ","['https://doi.org/10.1111/j.1479-828X.2006.00628.x', 'https://scholar.google.com/scholar_lookup?title=Postnatal+home+visiting+for+illicit+drug‐using+mothers+and+their+infants:+a+randomised+controlled+trial+&author=A+Bartu&author=J+Sharp&author=J+Ludlow&author=DA+Doherty&publication_year=2006&hl=en']",,https://doi.org/10.1111/j.1479-828X.2006.00628.x, Bartu 2006 {published and unpublished data}  ,included,CD010038-bbs2-0001,
CD010038-bib-0002,"Bjornson GL, Scheifele DW, Gold R. ",Assessment of parent education methods for infant immunization, Canadian Journal of Public Health/Revue canadienne de santé publique ,1997,88,    ,['citation-journal']," Bjornson GL, Scheifele DW, Gold R. Assessment of parent education methods for infant immunization.  Canadian Journal of Public Health/Revue canadienne de santé publique 1997;88(6):405‐8.    Link to article     Google Scholar     ","['https://doi.org/10.1007/BF03403916', 'https://scholar.google.com/scholar_lookup?title=Assessment+of+parent+education+methods+for+infant+immunization&author=GL+Bjornson&author=DW+Scheifele&author=R+Gold&publication_year=1997&hl=en']",,https://doi.org/10.1007/BF03403916, Bjornson 1997 {published and unpublished data}  ,included,CD010038-bbs2-0002,
CD010038-bib-0003,"Bolam A, Manandhar DS, Shrestha P, Ellis M, Costello AM. ",The effects of postnatal health education for mothers on infant care and family planning practices in Nepal: a randomised controlled trial, BMJ (Clinical research edition) ,1998,316,    ,['citation-journal']," Bolam A, Manandhar DS, Shrestha P, Ellis M, Costello AM. The effects of postnatal health education for mothers on infant care and family planning practices in Nepal: a randomised controlled trial.  BMJ (Clinical research edition) 1998;316(7134):805‐11.    Link to article     Google Scholar     ","['https://doi.org/10.1136/bmj.316.7134.805', 'https://scholar.google.com/scholar_lookup?title=The+effects+of+postnatal+health+education+for+mothers+on+infant+care+and+family+planning+practices+in+Nepal:+a+randomised+controlled+trial+&author=A+Bolam&author=DS+Manandhar&author=P+Shrestha&author=M+Ellis&author=AM+Costello&publication_year=1998&hl=en']",,https://doi.org/10.1136/bmj.316.7134.805, Bolam 1998 {published and unpublished data}  ,included,CD010038-bbs2-0003,
CD010038-bib-0004,"Quinlivan JA, Box H, Evans SF. ",Postnatal home visits in teenage mothers: a randomised controlled trial, Lancet ,2003,361,    ,['citation-journal']," Quinlivan JA, Box H, Evans SF. Postnatal home visits in teenage mothers: a randomised controlled trial.  Lancet 2003;361(9361):893‐900.    Link to article     PubMed     Google Scholar     ","['https://doi.org/10.1016/S0140-6736(03)12770-5', 'https://www.ncbi.nlm.nih.gov/pubmed/12648967', 'https://scholar.google.com/scholar_lookup?title=Postnatal+home+visits+in+teenage+mothers:+a+randomised+controlled+trial&author=JA+Quinlivan&author=H+Box&author=SF+Evans&publication_year=2003&hl=en']",12648967,https://doi.org/10.1016/S0140-6736(03)12770-5, Quinlivan 2003 {published and unpublished data}  ,included,CD010038-bbs2-0004,
CD010038-bib-0005,"Usman HR, Akhtar S, Habib F, Jehan I. ",Redesigned immunization card and center‐based education to reduce childhood immunization dropouts in urban Pakistan: a randomized controlled trial, Vaccine ,2009,27,    ,['citation-journal']," Usman HR, Akhtar S, Habib F, Jehan I. Redesigned immunization card and center‐based education to reduce childhood immunization dropouts in urban Pakistan: a randomized controlled trial.  Vaccine 2009;27(3):467‐72.    Link to article     Google Scholar     ","['https://doi.org/10.1016/j.vaccine.2008.10.048', 'https://scholar.google.com/scholar_lookup?title=Redesigned+immunization+card+and+center‐based+education+to+reduce+childhood+immunization+dropouts+in+urban+Pakistan:+a+randomized+controlled+trial+&author=HR+Usman&author=S+Akhtar&author=F+Habib&author=I+Jehan&publication_year=2009&hl=en']",,https://doi.org/10.1016/j.vaccine.2008.10.048, Usman 2009 {published and unpublished data}  ,included,CD010038-bbs2-0005,
CD010038-bib-0006,"Usman HR, Rahbar MH, Kristensen S, Vermund SH, Kirby RS, Habib F, et al. ",Randomized controlled trial to improve childhood immunization adherence in rural Pakistan: redesigned immunization card and maternal education, Tropical Medicine and International Health ,2011,16,    ,['citation-journal']," Usman HR, Rahbar MH, Kristensen S, Vermund SH, Kirby RS, Habib F, et al. Randomized controlled trial to improve childhood immunization adherence in rural Pakistan: redesigned immunization card and maternal education.  Tropical Medicine and International Health 2011;16(3):334‐42.    Link to article     Google Scholar     ","['https://doi.org/10.1111/j.1365-3156.2010.02698.x', 'https://scholar.google.com/scholar_lookup?title=Randomized+controlled+trial+to+improve+childhood+immunization+adherence+in+rural+Pakistan:+redesigned+immunization+card+and+maternal+education+&author=HR+Usman&author=MH+Rahbar&author=S+Kristensen&author=SH+Vermund&author=RS+Kirby&author=F+Habib&publication_year=2011&hl=en']",,https://doi.org/10.1111/j.1365-3156.2010.02698.x, Usman 2011 {published and unpublished data}  ,included,CD010038-bbs2-0006,
CD010038-bib-0007,"Wood D, Halfon N, Donald‐Sherbourne C, Mazel RM, Schuster M, Hamlin JS, et al. ","Increasing immunization rates among inner‐city, African American children: a randomized trial of case management", Journal of the American Medical Association ,1998,279,    ,['citation-journal']," Wood D, Halfon N, Donald‐Sherbourne C, Mazel RM, Schuster M, Hamlin JS, et al. Increasing immunization rates among inner‐city, African American children: a randomized trial of case management.  Journal of the American Medical Association 1998;279(1):29‐34.    Link to article     Google Scholar     ","['https://doi.org/10.1001/jama.279.1.29', 'https://scholar.google.com/scholar_lookup?title=Increasing+immunization+rates+among+inner‐city,+African+American+children:+a+randomized+trial+of+case+management+&author=D+Wood&author=N+Halfon&author=C+Donald‐Sherbourne&author=RM+Mazel&author=M+Schuster&author=JS+Hamlin&publication_year=1998&hl=en']",,https://doi.org/10.1001/jama.279.1.29, Wood 1998 {published and unpublished data}  ,included,CD010038-bbs2-0007,
CD010038-bib-0008,"Wood D, Schuster M, Donald‐Sherbourne C, Duan N, Mazel R, Halfon N. ",Reducing missed opportunities to vaccinate during child health visits: how effective are parent education and case management?, Archives of Pediatrics and Adolescent Medicine ,1998,152,    ,['citation-journal']," Wood D, Schuster M, Donald‐Sherbourne C, Duan N, Mazel R, Halfon N. Reducing missed opportunities to vaccinate during child health visits: how effective are parent education and case management?.  Archives of Pediatrics and Adolescent Medicine 1998;152(3):238‐43.    Link to article     Google Scholar     ","['https://doi.org/10.1001/archpedi.152.3.238', 'https://scholar.google.com/scholar_lookup?title=Reducing+missed+opportunities+to+vaccinate+during+child+health+visits:+how+effective+are+parent+education+and+case+management?+&author=D+Wood&author=M+Schuster&author=C+Donald‐Sherbourne&author=N+Duan&author=R+Mazel&author=N+Halfon&publication_year=1998&hl=en']",,https://doi.org/10.1001/archpedi.152.3.238, Wood 1998 {published and unpublished data}  ,included,CD010038-bbs2-0007,
CD010038-bib-0009,"Abhyankar P, O'Connor DB, Lawton R. ",The role of message framing in promoting MMR vaccination: evidence of a loss‐frame advantage," Psychology, Health & Medicine ",2008,13,    ,['citation-journal']," Abhyankar P, O'Connor DB, Lawton R. The role of message framing in promoting MMR vaccination: evidence of a loss‐frame advantage.  Psychology, Health & Medicine 2008;13(1):1‐16.    Link to article     Google Scholar     ","['https://doi.org/10.1080/13548500701235732', ""https://scholar.google.com/scholar_lookup?title=The+role+of+message+framing+in+promoting+MMR+vaccination:+evidence+of+a+loss‐frame+advantage+&author=P+Abhyankar&author=DB+O'Connor&author=R+Lawton&publication_year=2008&hl=en""]",,https://doi.org/10.1080/13548500701235732, Abhyankar 2008 {published data only}  ,excluded,CD010038-bbs2-0008, Not a face to face intervention 
CD010038-bib-0010,"Abramson JS, O'Shea TM, Ratledge DL, Lawless MR, Givner LB. ",Development of a vaccine tracking system to improve the rate of age‐appropriate primary immunization in children of lower socioeconomic status. [Retraction in Journal of Pediatrics 1995 Aug;127(2):338; PMID: 7636677], Journal of Pediatrics ,1995,126,    ,['citation-journal']," Abramson JS, O'Shea TM, Ratledge DL, Lawless MR, Givner LB. Development of a vaccine tracking system to improve the rate of age‐appropriate primary immunization in children of lower socioeconomic status. [Retraction in Journal of Pediatrics 1995 Aug;127(2):338; PMID: 7636677].  Journal of Pediatrics 1995;126(4):583‐6.    Link to article     Google Scholar     ","['https://doi.org/10.1016/S0022-3476(95)70354-3', ""https://scholar.google.com/scholar_lookup?title=Development+of+a+vaccine+tracking+system+to+improve+the+rate+of+age‐appropriate+primary+immunization+in+children+of+lower+socioeconomic+status.+[Retraction+in+Journal+of+Pediatrics+1995+Aug;127(2):338;+PMID:+7636677]+&author=JS+Abramson&author=TM+O'Shea&author=DL+Ratledge&author=MR+Lawless&author=LB+Givner&publication_year=1995&hl=en""]",,https://doi.org/10.1016/S0022-3476(95)70354-3, Abramson 1995 {published data only}  ,excluded,CD010038-bbs2-0009, Not a face to face intervention (reminder postcards and telephone contact) 
