Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 T2DM incidence (IFG5.6) Show forest plot,8,34867,"Hazard Ratio (Random, 95% CI)","4.32 [2.61, 7.12]",Hazard ratio as the effect measure for the development of T2DM,1,4.32,2.61,7.12,1,,T2DM incidence (IFG5.6),
1.1 Asia/Middle East,4,14803,"Hazard Ratio (Random, 95% CI)","5.07 [3.41, 7.53]",Hazard ratio as the effect measure for the development of T2DM,1,5.07,3.41,7.53,1,1,T2DM incidence (IFG5.6),Asia/Middle East
1.2 Australia/Europe/North America,3,18522,"Hazard Ratio (Random, 95% CI)","4.15 [1.24, 13.87]",Hazard ratio as the effect measure for the development of T2DM,1,4.15,1.24,13.87,1,2,T2DM incidence (IFG5.6),Australia/Europe/North America
1.3 American Indians/Islands,1,1542,"Hazard Ratio (Random, 95% CI)","2.38 [1.85, 3.06]",Hazard ratio as the effect measure for the development of T2DM,1,2.38,1.85,3.06,1,3,T2DM incidence (IFG5.6),American Indians/Islands
2 T2DM incidence (IFG6.1) Show forest plot,10,21475,"Hazard Ratio (Random, 95% CI)","5.47 [3.50, 8.54]",Hazard ratio as the effect measure for the development of T2DM,1,5.47,3.5,8.54,2,,T2DM incidence (IFG6.1),
2.1 Asia/Middle East,5,10810,"Hazard Ratio (Random, 95% CI)","10.55 [3.61, 30.81]",Hazard ratio as the effect measure for the development of T2DM,1,10.55,3.61,30.81,2,1,T2DM incidence (IFG6.1),Asia/Middle East
2.2 Australia/Europe/North America,4,10571,"Hazard Ratio (Random, 95% CI)","3.30 [2.32, 4.67]",Hazard ratio as the effect measure for the development of T2DM,1,3.3,2.32,4.67,2,2,T2DM incidence (IFG6.1),Australia/Europe/North America
2.3 Latin America,1,94,"Hazard Ratio (Random, 95% CI)","2.06 [1.76, 2.41]",Hazard ratio as the effect measure for the development of T2DM,1,2.06,1.76,2.41,2,3,T2DM incidence (IFG6.1),Latin America
3 T2DM incidence (IGT) Show forest plot,5,16576,"Hazard Ratio (Random, 95% CI)","3.61 [2.31, 5.64]",Hazard ratio as the effect measure for the development of T2DM,1,3.61,2.31,5.64,3,,T2DM incidence (IGT),
3.1 Asia/Middle East,3,8475,"Hazard Ratio (Random, 95% CI)","4.48 [2.81, 7.15]",Hazard ratio as the effect measure for the development of T2DM,1,4.48,2.81,7.15,3,1,T2DM incidence (IGT),Asia/Middle East
