Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Self‐reported depressive symptoms short term (up to 6 months) ‐ BDI Show forest plot,5,575,"Mean Difference (IV, Random, 95% CI)","‐4.07 [‐7.07, ‐1.07]",Psychotherapy with usual care versus usual care alone,1,-4.07,-7.07,-1.07,1,,Self‐reported depressive symptoms short term (up to 6 months) ‐ BDI,
1.1 CBT with usual care vs usual care alone,3,522,"Mean Difference (IV, Random, 95% CI)","‐4.56 [‐7.49, ‐1.63]",Psychotherapy with usual care versus usual care alone,1,-4.56,-7.49,-1.63,1,1,Self‐reported depressive symptoms short term (up to 6 months) ‐ BDI,CBT with usual care vs usual care alone
1.2 DBT with usual care vs usual care alone,1,19,"Mean Difference (IV, Random, 95% CI)","‐10.79 [‐23.83, 2.25]",Psychotherapy with usual care versus usual care alone,1,-10.79,-23.83,2.25,1,2,Self‐reported depressive symptoms short term (up to 6 months) ‐ BDI,DBT with usual care vs usual care alone
1.3 IPT with usual care vs usual care alone,1,34,"Mean Difference (IV, Random, 95% CI)","0.80 [‐6.70, 8.30]",Psychotherapy with usual care versus usual care alone,1,0.8,-6.7,8.3,1,3,Self‐reported depressive symptoms short term (up to 6 months) ‐ BDI,IPT with usual care vs usual care alone
2 Self‐reported depressive symptoms short term (up to 6 months) ‐ PHQ‐9 Show forest plot,2,482,"Mean Difference (IV, Random, 95% CI)","‐4.66 [‐8.72, ‐0.59]",Psychotherapy with usual care versus usual care alone,1,-4.66,-8.72,-0.59,2,,Self‐reported depressive symptoms short term (up to 6 months) ‐ PHQ‐9,
2.1 ISTDP with usual care vs usual care alone,1,60,"Mean Difference (IV, Random, 95% CI)","‐7.25 [‐11.37, ‐3.13]",Psychotherapy with usual care versus usual care alone,1,-7.25,-11.37,-3.13,2,1,Self‐reported depressive symptoms short term (up to 6 months) ‐ PHQ‐9,ISTDP with usual care vs usual care alone
2.2 CBT with usual care vs usual care alone,1,422,"Mean Difference (IV, Random, 95% CI)","‐3.0 [‐4.27, ‐1.73]",Psychotherapy with usual care versus usual care alone,1,-3.0,-4.27,-1.73,2,2,Self‐reported depressive symptoms short term (up to 6 months) ‐ PHQ‐9,CBT with usual care vs usual care alone
3 Self‐reported depressive symptoms short term (up to 6 months) ‐ SMD (BDI & PHQ‐9) Show forest plot,6,635,"Std. Mean Difference (IV, Random, 95% CI)","‐0.40 [‐0.65, ‐0.14]",Psychotherapy with usual care versus usual care alone,1,-0.4,-0.65,-0.14,3,,Self‐reported depressive symptoms short term (up to 6 months) ‐ SMD (BDI & PHQ‐9),
3.1 CBT with usual care vs usual care alone,3,522,"Std. Mean Difference (IV, Random, 95% CI)","‐0.35 [‐0.56, ‐0.13]",Psychotherapy with usual care versus usual care alone,1,-0.35,-0.56,-0.13,3,1,Self‐reported depressive symptoms short term (up to 6 months) ‐ SMD (BDI & PHQ‐9),CBT with usual care vs usual care alone
3.2 DBT with usual care vs usual care alone,1,19,"Std. Mean Difference (IV, Random, 95% CI)","‐0.72 [‐1.66, 0.21]",Psychotherapy with usual care versus usual care alone,1,-0.72,-1.66,0.21,3,2,Self‐reported depressive symptoms short term (up to 6 months) ‐ SMD (BDI & PHQ‐9),DBT with usual care vs usual care alone
3.3 IPT with usual care vs usual care alone,1,34,"Std. Mean Difference (IV, Random, 95% CI)","0.07 [‐0.60, 0.74]",Psychotherapy with usual care versus usual care alone,1,0.07,-0.6,0.74,3,3,Self‐reported depressive symptoms short term (up to 6 months) ‐ SMD (BDI & PHQ‐9),IPT with usual care vs usual care alone
