reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason
CD007394-bib-0001,"Acosta J, Catalan M, Del Palacio‐Perez‐Medel A, Montejo J‐C, Cruz‐Bertolo J, Moragues MD, et al. ","Prospective study in critically ill non‐neutropenic patients: diagnostic potential of (1,3)‐beta‐D‐glucan assay and circulating galactomannan for the diagnosis of invasive fungal disease", European Journal of Clinical Microbiology and Infectious Diseases ,2012,31,    ,['citation-journal']," Acosta J, Catalan M, Del Palacio‐Perez‐Medel A, Montejo J‐C, Cruz‐Bertolo J, Moragues MD, et al. Prospective study in critically ill non‐neutropenic patients: diagnostic potential of (1,3)‐beta‐D‐glucan assay and circulating galactomannan for the diagnosis of invasive fungal disease.  European Journal of Clinical Microbiology and Infectious Diseases 2012;31(5):721‐31. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1007/s10096-011-1365-0', 'https://www.ncbi.nlm.nih.gov/pubmed/21811868', 'https://scholar.google.com/scholar_lookup?title=Prospective+study+in+critically+ill+non‐neutropenic+patients:+diagnostic+potential+of+(1,3)‐beta‐D‐glucan+assay+and+circulating+galactomannan+for+the+diagnosis+of+invasive+fungal+disease+&author=J+Acosta&author=M+Catalan&author=A+Palacio‐Perez‐Medel&author=J‐C+Montejo&author=J+Cruz‐Bertolo&author=MD+Moragues&publication_year=2012&hl=en']",21811868,https://doi.org/10.1007/s10096-011-1365-0, Acosta 2012 {published data only}  ,included,CD007394-bbs2-0001,
CD007394-bib-0002,"Adam O, Auperin A, Wilquin F, Bourhis JH, Gachot B, Chachaty E. ",Treatment with piperacillin‐tazobactam and false‐positive Aspergillus galactomannan antigen test results for patients with hematological malignancies, Clinical Infectious Diseases ,2004,38,    ,['citation-journal']," Adam O, Auperin A, Wilquin F, Bourhis JH, Gachot B, Chachaty E. Treatment with piperacillin‐tazobactam and false‐positive Aspergillus galactomannan antigen test results for patients with hematological malignancies.  Clinical Infectious Diseases 2004;38(6):917‐20. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1086/383148', 'https://www.ncbi.nlm.nih.gov/pubmed/14999641', 'https://scholar.google.com/scholar_lookup?title=Treatment+with+piperacillin‐tazobactam+and+false‐positive+Aspergillus+galactomannan+antigen+test+results+for+patients+with+hematological+malignancies+&author=O+Adam&author=A+Auperin&author=F+Wilquin&author=JH+Bourhis&author=B+Gachot&author=E+Chachaty&publication_year=2004&hl=en']",14999641,https://doi.org/10.1086/383148, Adam 2004 {published data only}  ,included,CD007394-bbs2-0002,
CD007394-bib-0003,"Allan EK, Jordanides NE, McLintock LA, Copland M, Devaney M, Stewart K, et al. ",Poor performance of galactomannan and mannan sandwich enzyme‐linked immunosorbent assays in the diagnosis of invasive fungal infection, British Journal of Haematology ,2005,128,    ,['citation-journal']," Allan EK, Jordanides NE, McLintock LA, Copland M, Devaney M, Stewart K, et al. Poor performance of galactomannan and mannan sandwich enzyme‐linked immunosorbent assays in the diagnosis of invasive fungal infection.  British Journal of Haematology 2005;128(4):578‐9. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1111/j.1365-2141.2004.05333.x', 'https://www.ncbi.nlm.nih.gov/pubmed/15686470', 'https://scholar.google.com/scholar_lookup?title=Poor+performance+of+galactomannan+and+mannan+sandwich+enzyme‐linked+immunosorbent+assays+in+the+diagnosis+of+invasive+fungal+infection+&author=EK+Allan&author=NE+Jordanides&author=LA+McLintock&author=M+Copland&author=M+Devaney&author=K+Stewart&publication_year=2005&hl=en']",15686470,https://doi.org/10.1111/j.1365-2141.2004.05333.x, Allan 2005 {published data only}  ,included,CD007394-bbs2-0003,
CD007394-bib-0004,"Badiee P, Alborzi A, Karimi M, Pourabbas B, Haddadi P, Mardaneh J, et al. ","Diagnostic potential of nested PCR, galactomannan EIA, and beta‐D‐glucan for invasive aspergillosis in pediatric patients", Journal of Infection in Developing Countries ,2012,6,    ,['citation-journal']," Badiee P, Alborzi A, Karimi M, Pourabbas B, Haddadi P, Mardaneh J, et al. Diagnostic potential of nested PCR, galactomannan EIA, and beta‐D‐glucan for invasive aspergillosis in pediatric patients.  Journal of Infection in Developing Countries 2012;6(4):352‐7. [PUBMED: 22505446]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.3855/jidc.2110', 'https://www.ncbi.nlm.nih.gov/pubmed/22505446', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+potential+of+nested+PCR,+galactomannan+EIA,+and+beta‐D‐glucan+for+invasive+aspergillosis+in+pediatric+patients+&author=P+Badiee&author=A+Alborzi&author=M+Karimi&author=B+Pourabbas&author=P+Haddadi&author=J+Mardaneh&publication_year=2012&hl=en']",22505446,https://doi.org/10.3855/jidc.2110, Badiee 2013 {published data only}  ,included,CD007394-bbs2-0004,
CD007394-bib-0005,"Barnes RA, Stocking K, Bowden S, Poynton MH, White PL. ",Prevention and diagnosis of invasive fungal disease in high‐risk patients within an integrative care pathway, Journal of Infection ,2013,67,    ,['citation-journal']," Barnes RA, Stocking K, Bowden S, Poynton MH, White PL. Prevention and diagnosis of invasive fungal disease in high‐risk patients within an integrative care pathway.  Journal of Infection 2013;67(3):206‐14. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.jinf.2013.04.020', 'https://www.ncbi.nlm.nih.gov/pubmed/23644098', 'https://scholar.google.com/scholar_lookup?title=Prevention+and+diagnosis+of+invasive+fungal+disease+in+high‐risk+patients+within+an+integrative+care+pathway+&author=RA+Barnes&author=K+Stocking&author=S+Bowden&author=MH+Poynton&author=PL+White&publication_year=2013&hl=en']",23644098,https://doi.org/10.1016/j.jinf.2013.04.020, Barnes 2013 {published data only}  ,included,CD007394-bbs2-0005,
CD007394-bib-0006,"Becker MJ, Lugtenburg EJ, Cornelissen JJ, Van Der Schee C, Hoogsteden HC, De Marie S. ",Galactomannan detection in computerized tomography‐based broncho‐alveolar lavage fluid and serum in haematological patients at risk for invasive pulmonary aspergillosis, British Journal of Haematology ,2003,121,    ,['citation-journal']," Becker MJ, Lugtenburg EJ, Cornelissen JJ, Van Der Schee C, Hoogsteden HC, De Marie S. Galactomannan detection in computerized tomography‐based broncho‐alveolar lavage fluid and serum in haematological patients at risk for invasive pulmonary aspergillosis.  British Journal of Haematology 2003;121(3):448‐57. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1046/j.1365-2141.2003.04308.x', 'https://www.ncbi.nlm.nih.gov/pubmed/12716367', 'https://scholar.google.com/scholar_lookup?title=Galactomannan+detection+in+computerized+tomography‐based+broncho‐alveolar+lavage+fluid+and+serum+in+haematological+patients+at+risk+for+invasive+pulmonary+aspergillosis+&author=MJ+Becker&author=EJ+Lugtenburg&author=JJ+Cornelissen&author=C+Schee&author=HC+Hoogsteden&author=S+Marie&publication_year=2003&hl=en']",12716367,https://doi.org/10.1046/j.1365-2141.2003.04308.x, Becker 2003 {published data only}  ,included,CD007394-bbs2-0006,
CD007394-bib-0007,"Bialek R, Moshous D, Casanova JL, Blanche S, Hennequin C. ",Aspergillus antigen and PCR assays in bone marrow transplanted children, European Journal of Medical Research ,2002,7,    ,['citation-journal']," Bialek R, Moshous D, Casanova JL, Blanche S, Hennequin C. Aspergillus antigen and PCR assays in bone marrow transplanted children.  European Journal of Medical Research 2002;7(4):177‐80. CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/12010653', 'https://scholar.google.com/scholar_lookup?title=Aspergillus+antigen+and+PCR+assays+in+bone+marrow+transplanted+children&author=R+Bialek&author=D+Moshous&author=JL+Casanova&author=S+Blanche&author=C+Hennequin&publication_year=2002&hl=en']",12010653,, Bialek 2002 {published data only}  ,included,CD007394-bbs2-0007,
CD007394-bib-0008,"Bretagne S, Costa JM, Bart‐Delabesse E, Dhedin N, Rieux C, Cordonnier C. ",Comparison of serum galactomannan antigen detection and competitive polymerase chain reaction for diagnosing invasive aspergillosis, Clinical Infectious Diseases ,1998,26,    ,['citation-journal']," Bretagne S, Costa JM, Bart‐Delabesse E, Dhedin N, Rieux C, Cordonnier C. Comparison of serum galactomannan antigen detection and competitive polymerase chain reaction for diagnosing invasive aspergillosis.  Clinical Infectious Diseases 1998;26(6):1407‐12. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1086/516343', 'https://www.ncbi.nlm.nih.gov/pubmed/9636871', 'https://scholar.google.com/scholar_lookup?title=Comparison+of+serum+galactomannan+antigen+detection+and+competitive+polymerase+chain+reaction+for+diagnosing+invasive+aspergillosis+&author=S+Bretagne&author=JM+Costa&author=E+Bart‐Delabesse&author=N+Dhedin&author=C+Rieux&author=C+Cordonnier&publication_year=1998&hl=en']",9636871,https://doi.org/10.1086/516343, Bretagne 1998 {published data only}  ,included,CD007394-bbs2-0008,
CD007394-bib-0009,"Buchheidt D, Hummel M, Schleiermacher D, Spiess B, Schwerdtfeger R, Cornely OA, et al. ","Prospective clinical evaluation of a LightCycler‐mediated polymerase chain reaction assay, a nested‐PCR assay and a galactomannan enzyme‐linked immunosorbent assay for detection of invasive aspergillosis in neutropenic cancer patients and haematological stem cell transplant recipients", British Journal Haematology ,2004,125,    ,['citation-journal']," Buchheidt D, Hummel M, Schleiermacher D, Spiess B, Schwerdtfeger R, Cornely OA, et al. Prospective clinical evaluation of a LightCycler‐mediated polymerase chain reaction assay, a nested‐PCR assay and a galactomannan enzyme‐linked immunosorbent assay for detection of invasive aspergillosis in neutropenic cancer patients and haematological stem cell transplant recipients.  British Journal Haematology 2004;125(2):196‐202. CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Prospective+clinical+evaluation+of+a+LightCycler‐mediated+polymerase+chain+reaction+assay,+a+nested‐PCR+assay+and+a+galactomannan+enzyme‐linked+immunosorbent+assay+for+detection+of+invasive+aspergillosis+in+neutropenic+cancer+patients+and+haematological+stem+cell+transplant+recipients+&author=D+Buchheidt&author=M+Hummel&author=D+Schleiermacher&author=B+Spiess&author=R+Schwerdtfeger&author=OA+Cornely&publication_year=2004&hl=en']",,, Buchheidt 2004 {published data only}  ,included,CD007394-bbs2-0009,
CD007394-bib-0010,"Busca A, Locatelli F, Barbui A, Limerutti G, Serra R, Libertucci D, et al. ",Usefulness of sequential Aspergillus galactomannan antigen detection combined with early radiologic evaluation for diagnosis of invasive pulmonary aspergillosis in patients undergoing allogeneic stem cell transplantation, Transplantation Proceedings ,2006,38,    ,['citation-journal']," Busca A, Locatelli F, Barbui A, Limerutti G, Serra R, Libertucci D, et al. Usefulness of sequential Aspergillus galactomannan antigen detection combined with early radiologic evaluation for diagnosis of invasive pulmonary aspergillosis in patients undergoing allogeneic stem cell transplantation.  Transplantation Proceedings 2006;38(5):1610‐3. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.transproceed.2006.02.072', 'https://www.ncbi.nlm.nih.gov/pubmed/16797366', 'https://scholar.google.com/scholar_lookup?title=Usefulness+of+sequential+Aspergillus+galactomannan+antigen+detection+combined+with+early+radiologic+evaluation+for+diagnosis+of+invasive+pulmonary+aspergillosis+in+patients+undergoing+allogeneic+stem+cell+transplantation+&author=A+Busca&author=F+Locatelli&author=A+Barbui&author=G+Limerutti&author=R+Serra&author=D+Libertucci&publication_year=2006&hl=en']",16797366,https://doi.org/10.1016/j.transproceed.2006.02.072, Busca 2006 {published data only}  ,included,CD007394-bbs2-0010,
