Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 DMFS Show forest plot,3,2162,"Mean Difference (IV, Random, 95% CI)","‐0.53 [‐1.02, ‐0.04]",0 ppm F versus 1000 ppm F in adults (mature permanent dentition),1,-0.53,-1.02,-0.04,1,,DMFS,
2 DMFT Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,0 ppm F versus 1000 ppm F in adults (mature permanent dentition),1,,,,2,,DMFT,
1 dfs Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,0 ppm F versus 1500 ppm F in young children (primary dentition),2,,,,1,,dfs,
1 dmfs Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,250 ppm F versus 1450 ppm F in young children (primary dentition),3,,,,1,,dmfs,
2 dmft Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,250 ppm F versus 1450 ppm F in young children (primary dentition),3,,,,2,,dmft,
3 Proportion developing new caries Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,250 ppm F versus 1450 ppm F in young children (primary dentition),3,,,,3,,Proportion developing new caries,
1 dmfs/ANC Show forest plot,4,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,500 to 550 ppm F versus 1055 to 1100 ppm F in young children (primary dentition),4,,,,1,,dmfs/ANC,
1.1 dmfs,2,1958,"Mean Difference (IV, Random, 95% CI)","‐0.05 [‐0.38, 0.28]",500 to 550 ppm F versus 1055 to 1100 ppm F in young children (primary dentition),4,-0.05,-0.38,0.28,1,1,dmfs/ANC,dmfs
1.2 ANC,2,285,"Mean Difference (IV, Random, 95% CI)","‐0.31 [‐0.93, 0.32]",500 to 550 ppm F versus 1055 to 1100 ppm F in young children (primary dentition),4,-0.31,-0.93,0.32,1,2,dmfs/ANC,ANC
2 dmft Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,500 to 550 ppm F versus 1055 to 1100 ppm F in young children (primary dentition),4,,,,2,,dmft,
3 Proportion developing new caries Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,500 to 550 ppm F versus 1055 to 1100 ppm F in young children (primary dentition),4,,,,3,,Proportion developing new caries,
1 dmft Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,440 ppm F versus 1450 ppm F in young children (primary dentition),5,,,,1,,dmft,
2 Proportion developing new caries Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,440 ppm F versus 1450 ppm F in young children (primary dentition),5,,,,2,,Proportion developing new caries,
1 D(M)FS closest to 3 years Show forest plot,3,1460,"Std. Mean Difference (IV, Random, 95% CI)","‐0.09 [‐0.19, 0.02]",0 ppm F versus 250 ppm F in children and adolescents (immature permanent dentition),6,-0.09,-0.19,0.02,1,,D(M)FS closest to 3 years,
2 D(M)FT Show forest plot,1,,"Std. Mean Difference (IV, Random, 95% CI)",Subtotals only,0 ppm F versus 250 ppm F in children and adolescents (immature permanent dentition),6,,,,2,,D(M)FT,
3 Proportion developing new caries Show forest plot,2,684,"Risk Ratio (M‐H, Random, 95% CI)","1.07 [0.91, 1.27]",0 ppm F versus 250 ppm F in children and adolescents (immature permanent dentition),6,1.07,0.91,1.27,3,,Proportion developing new caries,
1 D(M)FS closest to 3 years Show forest plot,2,816,"Std. Mean Difference (IV, Random, 95% CI)","‐0.07 [‐0.21, 0.06]",0 ppm F versus 500 ppm F in children and adolescents (immature permanent dentition),7,-0.07,-0.21,0.06,1,,D(M)FS closest to 3 years,
2 D(M)FT Show forest plot,2,816,"Std. Mean Difference (IV, Random, 95% CI)","‐0.28 [‐0.72, 0.15]",0 ppm F versus 500 ppm F in children and adolescents (immature permanent dentition),7,-0.28,-0.72,0.15,2,,D(M)FT,
1 D(M)FS Show forest plot,55,31819,"Std. Mean Difference (IV, Random, 95% CI)","‐0.28 [‐0.33, ‐0.24]",0 ppm F versus 1000 ppm F in children and adolescents (immature permanent dentition),8,-0.28,-0.33,-0.24,1,,D(M)FS,
2 D(M)FT Show forest plot,41,24837,"Std. Mean Difference (IV, Random, 95% CI)","‐0.26 [‐0.31, ‐0.21]",0 ppm F versus 1000 ppm F in children and adolescents (immature permanent dentition),8,-0.26,-0.31,-0.21,2,,D(M)FT,
3 Proportion developing new caries Show forest plot,7,1898,"Risk Ratio (M‐H, Random, 95% CI)","0.90 [0.77, 1.06]",0 ppm F versus 1000 ppm F in children and adolescents (immature permanent dentition),8,0.9,0.77,1.06,3,,Proportion developing new caries,
1 D(M)FS Show forest plot,4,4406,"Std. Mean Difference (IV, Random, 95% CI)","‐0.34 [‐0.51, ‐0.18]",0 ppm F versus 1450 ppm F in children and adolescents (immature permanent dentition),9,-0.34,-0.51,-0.18,1,,D(M)FS,
2 D(M)FT Show forest plot,4,4406,"Std. Mean Difference (IV, Random, 95% CI)","‐0.37 [‐0.50, ‐0.24]",0 ppm F versus 1450 ppm F in children and adolescents (immature permanent dentition),9,-0.37,-0.5,-0.24,2,,D(M)FT,
3 Proportion developing new caries Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,0 ppm F versus 1450 ppm F in children and adolescents (immature permanent dentition),9,,,,3,,Proportion developing new caries,
1 D(M)FS closest to 3 years Show forest plot,3,1989,"Std. Mean Difference (IV, Random, 95% CI)","‐0.84 [‐1.29, ‐0.38]",0 ppm F versus 2400 ppm F in children and adolescents (immature permanent dentition),10,-0.84,-1.29,-0.38,1,,D(M)FS closest to 3 years,
2 D(M)FT Show forest plot,2,1209,"Std. Mean Difference (IV, Random, 95% CI)","‐1.57 [‐3.96, 0.82]",0 ppm F versus 2400 ppm F in children and adolescents (immature permanent dentition),10,-1.57,-3.96,0.82,2,,D(M)FT,
1 D(M)FS Show forest plot,1,766,"Std. Mean Difference (IV, Random, 95% CI)","‐0.01 [‐0.15, 0.13]",250 ppm F versus 500 ppm F in children and adolescents (immature permanent dentition),11,-0.01,-0.15,0.13,1,,D(M)FS,
2 D(M)FT Show forest plot,1,,"Std. Mean Difference (IV, Random, 95% CI)",Subtotals only,250 ppm F versus 500 ppm F in children and adolescents (immature permanent dentition),11,,,,2,,D(M)FT,
1 D(M)FS Show forest plot,6,3047,"Std. Mean Difference (IV, Random, 95% CI)","‐0.11 [‐0.20, ‐0.02]",250 ppm F versus 1000 ppm F in children and adolescents (immature permanent dentition),12,-0.11,-0.2,-0.02,1,,D(M)FS,
2 D(M)FT Show forest plot,3,2087,"Std. Mean Difference (IV, Random, 95% CI)","‐0.16 [‐0.27, ‐0.05]",250 ppm F versus 1000 ppm F in children and adolescents (immature permanent dentition),12,-0.16,-0.27,-0.05,2,,D(M)FT,
3 Proportion developing new caries Show forest plot,2,676,"Risk Ratio (M‐H, Random, 95% CI)","1.00 [0.63, 1.59]",250 ppm F versus 1000 ppm F in children and adolescents (immature permanent dentition),12,1.0,0.63,1.59,3,,Proportion developing new caries,
