Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Postoperative hypersensitivity (POH) by patient report (Y/N) Show forest plot,4,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Liner versus no liner,1,,,,1,,Postoperative hypersensitivity (POH) by patient report (Y/N),
1.1 24 hours follow‐up,1,88,"Risk Ratio (M‐H, Random, 95% CI)","0.26 [0.11, 0.64]",Liner versus no liner,1,0.26,0.11,0.64,1,1,Postoperative hypersensitivity (POH) by patient report (Y/N),24 hours follow‐up
1.2 1 week follow‐up,3,299,"Risk Ratio (M‐H, Random, 95% CI)","0.56 [0.26, 1.17]",Liner versus no liner,1,0.56,0.26,1.17,1,2,Postoperative hypersensitivity (POH) by patient report (Y/N),1 week follow‐up
1.3 1 month follow‐up,3,253,"Risk Ratio (M‐H, Random, 95% CI)","0.44 [0.15, 1.34]",Liner versus no liner,1,0.44,0.15,1.34,1,3,Postoperative hypersensitivity (POH) by patient report (Y/N),1 month follow‐up
2 Postoperative hypersensitivity (POH) by patient report (VAS) Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Totals not selected,Liner versus no liner,1,,,,2,,Postoperative hypersensitivity (POH) by patient report (VAS),
2.1 1 week follow‐up,1,,"Mean Difference (IV, Random, 95% CI)","0.0 [0.0, 0.0]",Liner versus no liner,1,0.0,0.0,0.0,2,1,Postoperative hypersensitivity (POH) by patient report (VAS),1 week follow‐up
2.2 1 month follow‐up,1,,"Mean Difference (IV, Random, 95% CI)","0.0 [0.0, 0.0]",Liner versus no liner,1,0.0,0.0,0.0,2,2,Postoperative hypersensitivity (POH) by patient report (VAS),1 month follow‐up
3 Cold response measurement (CRM) (time it took in seconds for patient to feel cold sensation) Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Totals not selected,Liner versus no liner,1,,,,3,,Cold response measurement (CRM) (time it took in seconds for patient to feel cold sensation),
3.1 24 hours follow‐up,1,,"Mean Difference (IV, Random, 95% CI)","0.0 [0.0, 0.0]",Liner versus no liner,1,0.0,0.0,0.0,3,1,Cold response measurement (CRM) (time it took in seconds for patient to feel cold sensation),24 hours follow‐up
3.2 1 week follow‐up,1,,"Mean Difference (IV, Random, 95% CI)","0.0 [0.0, 0.0]",Liner versus no liner,1,0.0,0.0,0.0,3,2,Cold response measurement (CRM) (time it took in seconds for patient to feel cold sensation),1 week follow‐up
3.3 1 month follow‐up,1,,"Mean Difference (IV, Random, 95% CI)","0.0 [0.0, 0.0]",Liner versus no liner,1,0.0,0.0,0.0,3,3,Cold response measurement (CRM) (time it took in seconds for patient to feel cold sensation),1 month follow‐up
4 Cold response measurement (CRM) (VAS) Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Liner versus no liner,1,,,,4,,Cold response measurement (CRM) (VAS),
4.1 1 week follow‐up,2,447,"Mean Difference (IV, Random, 95% CI)","‐0.20 [‐0.67, 0.26]",Liner versus no liner,1,-0.2,-0.67,0.26,4,1,Cold response measurement (CRM) (VAS),1 week follow‐up
4.2 1 month follow‐up,2,444,"Mean Difference (IV, Random, 95% CI)","‐0.33 [‐0.76, 0.11]",Liner versus no liner,1,-0.33,-0.76,0.11,4,2,Cold response measurement (CRM) (VAS),1 month follow‐up
5 Cold response measurement (CRM) (Y/N) Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Liner versus no liner,1,,,,5,,Cold response measurement (CRM) (Y/N),
5.1 1 week follow‐up,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Liner versus no liner,1,0.0,0.0,0.0,5,1,Cold response measurement (CRM) (Y/N),1 week follow‐up
5.2 1 month follow‐up,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",Liner versus no liner,1,0.0,0.0,0.0,5,2,Cold response measurement (CRM) (Y/N),1 month follow‐up
6 Restoration failure at 1 year follow‐up Show forest plot,4,281,"Risk Ratio (M‐H, Random, 95% CI)","1.0 [0.07, 15.00]",Liner versus no liner,1,1.0,0.07,15.0,6,,Restoration failure at 1 year follow‐up,
