Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Number of women who report cure or improvement of urinary incontinence (at short term ‐ 6 weeks) Show forest plot,1,18,"Risk Ratio (M‐H, Fixed, 95% CI)","6.33 [1.44, 27.88]",Yoga versus no specific active intervention,1,6.33,1.44,27.88,1,,Number of women who report cure or improvement of urinary incontinence (at short term ‐ 6 weeks),
2 Urinary incontinence condition‐ or symptom‐specific quality of life (at short term ‐ 6 weeks) Show forest plot,1,18,"Mean Difference (IV, Fixed, 95% CI)","1.74 [‐33.02, 36.50]",Yoga versus no specific active intervention,1,1.74,-33.02,36.5,2,,Urinary incontinence condition‐ or symptom‐specific quality of life (at short term ‐ 6 weeks),
3 Adjusted analysis for condition‐ or symptom‐specific quality of life at short term (6 weeks) Show forest plot,1,,"Mean Difference (Fixed, 95% CI)","‐27.7 [‐66.80, 11.40]",Yoga versus no specific active intervention,1,-27.7,-66.8,11.4,3,,Adjusted analysis for condition‐ or symptom‐specific quality of life at short term (6 weeks),
4 Number of micturitions (daily) (at short term ‐ 6 weeks) Show forest plot,1,18,"Mean Difference (IV, Fixed, 95% CI)","‐0.77 [‐2.13, 0.59]",Yoga versus no specific active intervention,1,-0.77,-2.13,0.59,4,,Number of micturitions (daily) (at short term ‐ 6 weeks),
5 Adjusted analysis for number of micturitions at short term (6 weeks) Show forest plot,1,,"Mean Difference (Fixed, 95% CI)","‐0.12 [‐1.73, 1.49]",Yoga versus no specific active intervention,1,-0.12,-1.73,1.49,5,,Adjusted analysis for number of micturitions at short term (6 weeks),
6 Number of episodes of incontinence (daily) (at short term ‐ 6 weeks) Show forest plot,1,18,"Mean Difference (IV, Fixed, 95% CI)","‐1.57 [‐2.83, ‐0.31]",Yoga versus no specific active intervention,1,-1.57,-2.83,-0.31,6,,Number of episodes of incontinence (daily) (at short term ‐ 6 weeks),
7 Adjusted analysis for number of incontinence episodes at short term (6 weeks) Show forest plot,1,,"Mean Difference (Fixed, 95% CI)","‐1.4 [‐2.79, ‐0.01]",Yoga versus no specific active intervention,1,-1.4,-2.79,-0.01,7,,Adjusted analysis for number of incontinence episodes at short term (6 weeks),
8 Bothersomeness of symptoms (at short term ‐ 6 weeks) Show forest plot,1,18,"Mean Difference (IV, Fixed, 95% CI)","‐0.90 [‐1.46, ‐0.34]",Yoga versus no specific active intervention,1,-0.9,-1.46,-0.34,8,,Bothersomeness of symptoms (at short term ‐ 6 weeks),
9 Adjusted analysis for bothersomeness of symptoms at short term (6 weeks) Show forest plot,1,,"Mean Difference (Fixed, 95% CI)","‐0.9 [‐1.40, ‐0.40]",Yoga versus no specific active intervention,1,-0.9,-1.4,-0.4,9,,Adjusted analysis for bothersomeness of symptoms at short term (6 weeks),
10 Adverse effects (at short term ‐ 6 weeks) Show forest plot,1,18,"Risk Difference (M‐H, Fixed, 95% CI)","0.0 [‐0.38, 0.38]",Yoga versus no specific active intervention,1,0.0,-0.38,0.38,10,,Adverse effects (at short term ‐ 6 weeks),
1 Number of women who report cure or improvement of urinary incontinence (at short term ‐ 8 weeks) Show forest plot,1,24,"Risk Ratio (M‐H, Fixed, 95% CI)","0.09 [0.01, 1.43]",Yoga versus an active intervention,2,0.09,0.01,1.43,1,,Number of women who report cure or improvement of urinary incontinence (at short term ‐ 8 weeks),
2 Number of women who report cure or improvement of urinary incontinence (at intermediate term ‐ 6 months) Show forest plot,1,20,"Risk Ratio (M‐H, Fixed, 95% CI)","0.2 [0.03, 1.42]",Yoga versus an active intervention,2,0.2,0.03,1.42,2,,Number of women who report cure or improvement of urinary incontinence (at intermediate term ‐ 6 months),
3 Number of women who report cure or improvement of urinary incontinence (at long term ‐ 1 year) Show forest plot,1,21,"Risk Ratio (M‐H, Fixed, 95% CI)","0.22 [0.03, 1.53]",Yoga versus an active intervention,2,0.22,0.03,1.53,3,,Number of women who report cure or improvement of urinary incontinence (at long term ‐ 1 year),
