Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
"1 CIN2+ associated with HPV16/18, at least 1 dose Show forest plot",3,23676,"Risk Ratio (IV, Random, 95% CI)","0.01 [0.00, 0.05]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.01,0.0,0.05,1,,"CIN2+ associated with HPV16/18, at least 1 dose",
"2 CIN2+ associated with HPV6/11/16/18, at least 1 dose Show forest plot",1,9296,"Risk Ratio (IV, Random, 95% CI)","0.01 [0.00, 0.09]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.01,0.0,0.09,2,,"CIN2+ associated with HPV6/11/16/18, at least 1 dose",
"3 CIN3+ associated with HPV16/18, at least 1 dose Show forest plot",2,20214,"Risk Ratio (IV, Random, 95% CI)","0.01 [0.00, 0.10]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.01,0.0,0.1,3,,"CIN3+ associated with HPV16/18, at least 1 dose",
"4 CIN3+ associated with HPV6/11/16/18, at least 1 dose Show forest plot",1,9296,"Risk Ratio (IV, Random, 95% CI)","0.01 [0.00, 0.18]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.01,0.0,0.18,4,,"CIN3+ associated with HPV6/11/16/18, at least 1 dose",
"5 AIS associated with HPV16/18, at least 1 dose Show forest plot",2,20214,"Risk Ratio (IV, Random, 95% CI)","0.10 [0.01, 0.82]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.1,0.01,0.82,5,,"AIS associated with HPV16/18, at least 1 dose",
"6 AIS associated with HPV6/11/16/18, at least 1 dose Show forest plot",1,9296,"Risk Ratio (IV, Random, 95% CI)","0.14 [0.01, 2.80]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.14,0.01,2.8,6,,"AIS associated with HPV6/11/16/18, at least 1 dose",
"7 Any CIN2+ irrespective of HPV types, at least 1 dose Show forest plot",5,25180,"Risk Ratio (IV, Random, 95% CI)","0.37 [0.25, 0.55]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.37,0.25,0.55,7,,"Any CIN2+ irrespective of HPV types, at least 1 dose",
7.1 Bivalent vaccine,4,15884,"Risk Ratio (IV, Random, 95% CI)","0.33 [0.25, 0.43]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.33,0.25,0.43,7,1,"Any CIN2+ irrespective of HPV types, at least 1 dose",Bivalent vaccine
7.2 Quadrivalent vaccine,1,9296,"Risk Ratio (IV, Random, 95% CI)","0.57 [0.44, 0.76]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.57,0.44,0.76,7,2,"Any CIN2+ irrespective of HPV types, at least 1 dose",Quadrivalent vaccine
"8 Any CIN3+ irrespective of HPV types, at least 1 dose Show forest plot",3,20719,"Risk Ratio (IV, Random, 95% CI)","0.21 [0.04, 1.10]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.21,0.04,1.1,8,,"Any CIN3+ irrespective of HPV types, at least 1 dose",
8.1 Bivalent vaccine,2,11423,"Risk Ratio (IV, Random, 95% CI)","0.08 [0.03, 0.23]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.08,0.03,0.23,8,1,"Any CIN3+ irrespective of HPV types, at least 1 dose",Bivalent vaccine
8.2 Quadrivalent vaccine,1,9296,"Risk Ratio (IV, Random, 95% CI)","0.54 [0.36, 0.82]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.54,0.36,0.82,8,2,"Any CIN3+ irrespective of HPV types, at least 1 dose",Quadrivalent vaccine
"9 Any AIS irrespective of HPV types, at least 1 dose Show forest plot",2,20214,"Risk Ratio (IV, Random, 95% CI)","0.10 [0.01, 0.76]",High‐grade cervical lesions in hrHPV DNA negative women at baseline,1,0.1,0.01,0.76,9,,"Any AIS irrespective of HPV types, at least 1 dose",
"1 CIN2+ associated with HPV16/(18), 3 doses Show forest plot",8,43376,"Risk Ratio (IV, Random, 95% CI)","0.08 [0.04, 0.16]",High‐grade cervical lesions in HPV16/18 DNA negative women at baseline,2,0.08,0.04,0.16,1,,"CIN2+ associated with HPV16/(18), 3 doses",
