Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Mean intraocular pressure at a time point Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Endoscopic cyclophotocoagulation versus aqueous shunt,1,,,,1,,Mean intraocular pressure at a time point,
1.1 One week,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Endoscopic cyclophotocoagulation versus aqueous shunt,1,0.0,0.0,0.0,1,1,Mean intraocular pressure at a time point,One week
1.2 One month,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Endoscopic cyclophotocoagulation versus aqueous shunt,1,0.0,0.0,0.0,1,2,Mean intraocular pressure at a time point,One month
1.3 Three months,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Endoscopic cyclophotocoagulation versus aqueous shunt,1,0.0,0.0,0.0,1,3,Mean intraocular pressure at a time point,Three months
1.4 Six months,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Endoscopic cyclophotocoagulation versus aqueous shunt,1,0.0,0.0,0.0,1,4,Mean intraocular pressure at a time point,Six months
1.5 One year,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Endoscopic cyclophotocoagulation versus aqueous shunt,1,0.0,0.0,0.0,1,5,Mean intraocular pressure at a time point,One year
1.6 Two years,1,,"Mean Difference (IV, Fixed, 95% CI)","0.0 [0.0, 0.0]",Endoscopic cyclophotocoagulation versus aqueous shunt,1,0.0,0.0,0.0,1,6,Mean intraocular pressure at a time point,Two years
1 Mean intraocular pressure at a time point Show forest plot,2,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Cyclophotocoagulation using a semiconductor diode laser versus Nd:YAG laser,2,,,,1,,Mean intraocular pressure at a time point,
1.1 One week,2,130,"Mean Difference (IV, Fixed, 95% CI)","‐1.45 [‐5.70, 2.80]",Cyclophotocoagulation using a semiconductor diode laser versus Nd:YAG laser,2,-1.45,-5.7,2.8,1,1,Mean intraocular pressure at a time point,One week
1.2 One month,2,127,"Mean Difference (IV, Fixed, 95% CI)","‐0.69 [‐4.29, 2.90]",Cyclophotocoagulation using a semiconductor diode laser versus Nd:YAG laser,2,-0.69,-4.29,2.9,1,2,Mean intraocular pressure at a time point,One month
1.3 Three months,1,22,"Mean Difference (IV, Fixed, 95% CI)","‐1.90 [‐15.84, 12.04]",Cyclophotocoagulation using a semiconductor diode laser versus Nd:YAG laser,2,-1.9,-15.84,12.04,1,3,Mean intraocular pressure at a time point,Three months
1.4 Six months,1,95,"Mean Difference (IV, Fixed, 95% CI)","‐0.06 [‐3.28, 3.16]",Cyclophotocoagulation using a semiconductor diode laser versus Nd:YAG laser,2,-0.06,-3.28,3.16,1,4,Mean intraocular pressure at a time point,Six months
1.5 One year,1,95,"Mean Difference (IV, Fixed, 95% CI)","1.02 [‐1.49, 3.53]",Cyclophotocoagulation using a semiconductor diode laser versus Nd:YAG laser,2,1.02,-1.49,3.53,1,5,Mean intraocular pressure at a time point,One year
