Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 All‐cause mortality (up to 3 months) Show forest plot,5,1236,"Risk Ratio (M‐H, Random, 95% CI)","0.82 [0.53, 1.26]",Low‐molecular‐weight heparin (LMWH) versus no LMWH,1,0.82,0.53,1.26,1,,All‐cause mortality (up to 3 months),
2 Symptomatic catheter‐related thrombosis (up to 3 months) Show forest plot,5,1089,"Risk Ratio (M‐H, Random, 95% CI)","0.43 [0.22, 0.81]",Low‐molecular‐weight heparin (LMWH) versus no LMWH,1,0.43,0.22,0.81,2,,Symptomatic catheter‐related thrombosis (up to 3 months),
3 Asymptomatic catheter‐related thrombosis (up to 3 months) Show forest plot,5,1089,"Risk Ratio (M‐H, Random, 95% CI)","0.95 [0.62, 1.46]",Low‐molecular‐weight heparin (LMWH) versus no LMWH,1,0.95,0.62,1.46,3,,Asymptomatic catheter‐related thrombosis (up to 3 months),
4 Major bleeding (up to 3 months) Show forest plot,4,1018,"Risk Ratio (M‐H, Random, 95% CI)","1.49 [0.06, 36.28]",Low‐molecular‐weight heparin (LMWH) versus no LMWH,1,1.49,0.06,36.28,4,,Major bleeding (up to 3 months),
5 Minor bleeding (up to 3 months) Show forest plot,2,544,"Risk Ratio (M‐H, Random, 95% CI)","1.35 [0.62, 2.92]",Low‐molecular‐weight heparin (LMWH) versus no LMWH,1,1.35,0.62,2.92,5,,Minor bleeding (up to 3 months),
6 Catheter‐related infection (up to 3 months) Show forest plot,2,474,"Risk Ratio (M‐H, Random, 95% CI)","0.97 [0.52, 1.79]",Low‐molecular‐weight heparin (LMWH) versus no LMWH,1,0.97,0.52,1.79,6,,Catheter‐related infection (up to 3 months),
7 Thrombocytopenia (up to 3 months) Show forest plot,4,1002,"Risk Ratio (M‐H, Random, 95% CI)","1.03 [0.80, 1.33]",Low‐molecular‐weight heparin (LMWH) versus no LMWH,1,1.03,0.8,1.33,7,,Thrombocytopenia (up to 3 months),
1 All‐cause mortality (up to 3 months) Show forest plot,4,701,"Risk Ratio (M‐H, Random, 95% CI)","0.99 [0.64, 1.55]",Vitamin K antagonist (VKA) versus no VKA,2,0.99,0.64,1.55,1,,All‐cause mortality (up to 3 months),
2 Symptomatic catheter‐related thrombosis (up to 3 months) Show forest plot,4,1271,"Risk Ratio (M‐H, Random, 95% CI)","0.61 [0.23, 1.64]",Vitamin K antagonist (VKA) versus no VKA,2,0.61,0.23,1.64,2,,Symptomatic catheter‐related thrombosis (up to 3 months),
3 Asymptomatic catheter‐related thrombosis Show forest plot,2,384,"Risk Ratio (M‐H, Random, 95% CI)","0.61 [0.27, 1.40]",Vitamin K antagonist (VKA) versus no VKA,2,0.61,0.27,1.4,3,,Asymptomatic catheter‐related thrombosis,
