Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Proportion of ulcers healed Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,SEPS + compression therapy versus compression therapy,1,,,,1,,Proportion of ulcers healed,
1.1 0 to 6 months,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",SEPS + compression therapy versus compression therapy,1,0.0,0.0,0.0,1,1,Proportion of ulcers healed,0 to 6 months
1.2 6 to 12 months,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",SEPS + compression therapy versus compression therapy,1,0.0,0.0,0.0,1,2,Proportion of ulcers healed,6 to 12 months
1.3 12 to 24 months,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",SEPS + compression therapy versus compression therapy,1,0.0,0.0,0.0,1,3,Proportion of ulcers healed,12 to 24 months
2 Ulcer recurrence Show forest plot,2,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,SEPS + compression therapy versus compression therapy,1,,,,2,,Ulcer recurrence,
2.1 0 to 6 months,1,196,"Risk Ratio (M‐H, Random, 95% CI)","0.62 [0.27, 1.41]",SEPS + compression therapy versus compression therapy,1,0.62,0.27,1.41,2,1,Ulcer recurrence,0 to 6 months
2.2 6 to 12 months,1,196,"Risk Ratio (M‐H, Random, 95% CI)","0.72 [0.37, 1.42]",SEPS + compression therapy versus compression therapy,1,0.72,0.37,1.42,2,2,Ulcer recurrence,6 to 12 months
2.3 12 to 24 months,2,208,"Risk Ratio (M‐H, Random, 95% CI)","0.85 [0.26, 2.76]",SEPS + compression therapy versus compression therapy,1,0.85,0.26,2.76,2,3,Ulcer recurrence,12 to 24 months
1 Proportion of ulcers healed Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,SEPS versus the Linton procedure,2,,,,1,,Proportion of ulcers healed,
1.1 0 to 6 months,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",SEPS versus the Linton procedure,2,0.0,0.0,0.0,1,1,Proportion of ulcers healed,0 to 6 months
1.2 6 to 12 months,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",SEPS versus the Linton procedure,2,0.0,0.0,0.0,1,2,Proportion of ulcers healed,6 to 12 months
1.3 12 to 24 months,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",SEPS versus the Linton procedure,2,0.0,0.0,0.0,1,3,Proportion of ulcers healed,12 to 24 months
2 Ulcer recurrence (60 months) Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,SEPS versus the Linton procedure,2,,,,2,,Ulcer recurrence (60 months),
3 Adverse events Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,SEPS versus the Linton procedure,2,,,,3,,Adverse events,
1 Proportion of ulcers healed (12 months) Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,SEPS + saphenous surgery versus saphenous surgery,3,,,,1,,Proportion of ulcers healed (12 months),
2 Ulcer recurrence Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,SEPS + saphenous surgery versus saphenous surgery,3,,,,2,,Ulcer recurrence,
2.1 6 months,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",SEPS + saphenous surgery versus saphenous surgery,3,0.0,0.0,0.0,2,1,Ulcer recurrence,6 months
2.2 12 months,1,,"Risk Ratio (M‐H, Random, 95% CI)","0.0 [0.0, 0.0]",SEPS + saphenous surgery versus saphenous surgery,3,0.0,0.0,0.0,2,2,Ulcer recurrence,12 months
3 Adverse events Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,SEPS + saphenous surgery versus saphenous surgery,3,,,,3,,Adverse events,
