Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Walking distance: 6‐minute walk test (m) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,1,,Walking distance: 6‐minute walk test (m),
2 Functional performance: Hammersmith Functional Motor Scale Expanded Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,2,,Functional performance: Hammersmith Functional Motor Scale Expanded,
3 Functional performance: 10‐meter walk test (s) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,3,,Functional performance: 10‐meter walk test (s),
4 Functional performance: Timed Up and Go test (s) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,4,,Functional performance: Timed Up and Go test (s),
5 Cardiopulmonary exercise capacity: VO2max (mL/kg/min) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,5,,Cardiopulmonary exercise capacity: VO2max (mL/kg/min),
6 Muscle strength: total manual muscle testing score Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,6,,Muscle strength: total manual muscle testing score,
7 Muscle strength: arm manual muscle testing score Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,7,,Muscle strength: arm manual muscle testing score,
8 Muscle strength: leg manual muscle testing score Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,8,,Muscle strength: leg manual muscle testing score,
9 Muscle strength: hand‐held dynamometry ‐ knee extension (kg) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,9,,Muscle strength: hand‐held dynamometry ‐ knee extension (kg),
10 Muscle strength: hand‐held dynamometry ‐ knee flexion (kg) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,10,,Muscle strength: hand‐held dynamometry ‐ knee flexion (kg),
11 Muscle strength: hand‐held dynamometry ‐ shoulder abduction (kg) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,11,,Muscle strength: hand‐held dynamometry ‐ shoulder abduction (kg),
12 Muscle strength: hand‐held dynamometry ‐ elbow extension (kg) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,12,,Muscle strength: hand‐held dynamometry ‐ elbow extension (kg),
13 Muscle strength: hand‐held dynamometry ‐ elbow flexion (kg) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Combined strength and aerobic exercise training versus usual care in SMA type 3,1,,,,13,,Muscle strength: hand‐held dynamometry ‐ elbow flexion (kg),
