Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Success (event = failed block) Show forest plot,22,1789,"Risk Difference (M‐H, Random, 95% CI)","‐0.16 [‐0.25, ‐0.07]",Ultrasound versus no ultrasound,1,-0.16,-0.25,-0.07,1,,Success (event = failed block),
1.1 Peripheral nerve block,9,607,"Risk Difference (M‐H, Random, 95% CI)","‐0.18 [‐0.26, ‐0.09]",Ultrasound versus no ultrasound,1,-0.18,-0.26,-0.09,1,1,Success (event = failed block),Peripheral nerve block
1.2 Fascia block,8,722,"Risk Difference (M‐H, Random, 95% CI)","‐0.23 [‐0.48, 0.03]",Ultrasound versus no ultrasound,1,-0.23,-0.48,0.03,1,2,Success (event = failed block),Fascia block
1.3 Neuraxial block,5,460,"Risk Difference (M‐H, Random, 95% CI)","‐0.03 [‐0.07, 0.01]",Ultrasound versus no ultrasound,1,-0.03,-0.07,0.01,1,3,Success (event = failed block),Neuraxial block
2 Pain at 1 hour after surgery Show forest plot,15,982,"Std. Mean Difference (Random, 95% CI)","‐0.41 [‐0.74, ‐0.07]",Ultrasound versus no ultrasound,1,-0.41,-0.74,-0.07,2,,Pain at 1 hour after surgery,
2.1 Ultrasound vs landmark,4,514,"Std. Mean Difference (Random, 95% CI)","‐0.13 [‐0.43, 0.17]",Ultrasound versus no ultrasound,1,-0.13,-0.43,0.17,2,1,Pain at 1 hour after surgery,Ultrasound vs landmark
2.2 Ultrasound vs nerve stimulator,2,104,"Std. Mean Difference (Random, 95% CI)","‐0.29 [‐0.68, 0.09]",Ultrasound versus no ultrasound,1,-0.29,-0.68,0.09,2,2,Pain at 1 hour after surgery,Ultrasound vs nerve stimulator
2.3 Ultrasound vs infiltration,8,306,"Std. Mean Difference (Random, 95% CI)","‐0.70 [‐1.41, 0.02]",Ultrasound versus no ultrasound,1,-0.7,-1.41,0.02,2,3,Pain at 1 hour after surgery,Ultrasound vs infiltration
2.4 Ultrasound vs surgeon administered,1,58,"Std. Mean Difference (Random, 95% CI)","0.01 [‐0.51, 0.52]",Ultrasound versus no ultrasound,1,0.01,-0.51,0.52,2,4,Pain at 1 hour after surgery,Ultrasound vs surgeon administered
3 Block duration Show forest plot,10,460,"Std. Mean Difference (Random, 95% CI)","1.24 [0.72, 1.75]",Ultrasound versus no ultrasound,1,1.24,0.72,1.75,3,,Block duration,
