reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason
CD010386-bib-0001,"Forsberg A, Almkvist O, Engler H, Wall A, Langstrom B, Nordberg A. ",High PIB retention in Alzheimer’s disease in early event with complex relationship with CSF biomarkers and functional parameters, Current Alzheimer Research ,2010,7,    ,['citation-journal']," Forsberg A, Almkvist O, Engler H, Wall A, Langstrom B, Nordberg A. High PIB retention in Alzheimer’s disease in early event with complex relationship with CSF biomarkers and functional parameters.  Current Alzheimer Research 2010;7:56‐66.    Link to article     Google Scholar     ","['https://doi.org/10.2174/156720510790274446', 'https://scholar.google.com/scholar_lookup?title=High+PIB+retention+in+Alzheimer’s+disease+in+early+event+with+complex+relationship+with+CSF+biomarkers+and+functional+parameters+&author=A+Forsberg&author=O+Almkvist&author=H+Engler&author=A+Wall&author=B+Langstrom&author=A+Nordberg&publication_year=2010&hl=en']",,https://doi.org/10.2174/156720510790274446, Forsberg 2010 {published data only}  ,included,CD010386-bbs2-0001,
CD010386-bib-0002,"Forsberg A, Engler H, Almkvist O, Blomquist G, Hagman G, Wall A, et al. ",PET imaging of amyloid deposition in patients with mild cognitive impairment, Neurobiology of Aging ,2008,29,    ,['citation-journal']," Forsberg A, Engler H, Almkvist O, Blomquist G, Hagman G, Wall A, et al. PET imaging of amyloid deposition in patients with mild cognitive impairment.  Neurobiology of Aging 2008;29:1456‐65.    Link to article     Google Scholar     ","['https://doi.org/10.1016/j.neurobiolaging.2007.03.029', 'https://scholar.google.com/scholar_lookup?title=PET+imaging+of+amyloid+deposition+in+patients+with+mild+cognitive+impairment&author=A+Forsberg&author=H+Engler&author=O+Almkvist&author=G+Blomquist&author=G+Hagman&author=A+Wall&publication_year=2008&hl=en']",,https://doi.org/10.1016/j.neurobiolaging.2007.03.029, Forsberg 2010 {published data only}  ,included,CD010386-bbs2-0001,
CD010386-bib-0003,"Forsberg A, Engler H, Blomquist G, Almkvist O, Hagman G, Wall A, et al. ",PET imaging of amyloid depositions in MCI patients using PIB,,2007,,    ,['citation-other']," Forsberg A, Engler H, Blomquist G, Almkvist O, Hagman G, Wall A, et al. PET imaging of amyloid depositions in MCI patients using PIB. Journal of Cerebral Blood Flow and Metabolism2007; Vol. 27 Suppl 1:BO03‐01.    Google Scholar     ",['https://scholar.google.com/scholar_lookup?title=PET+imaging+of+amyloid+depositions+in+MCI+patients+using+PIB&author=A+Forsberg&author=H+Engler&author=G+Blomquist&author=O+Almkvist&author=G+Hagman&author=A+Wall&publication_year=2007&hl=en'],,, Forsberg 2010 {published data only}  ,included,CD010386-bbs2-0001,
CD010386-bib-0004,"Nordberg A, Carter SF, Rinne J, Drzezga A, Brooks DJ, Vandenberghe R, et al. ",A European multicentre PET study of fibrillar amyloid in Alzheimer's disease, European Journal of Nuclear Medicine and Molecular Imaging ,2013,40,    ,['citation-journal']," Nordberg A, Carter SF, Rinne J, Drzezga A, Brooks DJ, Vandenberghe R, et al. A European multicentre PET study of fibrillar amyloid in Alzheimer's disease.  European Journal of Nuclear Medicine and Molecular Imaging 2013;40(1):104‐14.    Link to article     Google Scholar     ","['https://doi.org/10.1007/s00259-012-2237-2', ""https://scholar.google.com/scholar_lookup?title=A+European+multicentre+PET+study+of+fibrillar+amyloid+in+Alzheimer's+disease&author=A+Nordberg&author=SF+Carter&author=J+Rinne&author=A+Drzezga&author=DJ+Brooks&author=R+Vandenberghe&publication_year=2013&hl=en""]",,https://doi.org/10.1007/s00259-012-2237-2, Forsberg 2010 {published data only}  ,included,CD010386-bbs2-0001,
CD010386-bib-0005,"GrimmerT, Wutz C, Drzezga A, Forster S, Forstl H, Ortner M, et al. ",The usefulness of amyloid imaging in predicting the clinical outcome after two years in subjects with mild cognitive impairment, Current Alzheimer Research ,2013,10,    ,['citation-journal']," GrimmerT, Wutz C, Drzezga A, Forster S, Forstl H, Ortner M, et al. The usefulness of amyloid imaging in predicting the clinical outcome after two years in subjects with mild cognitive impairment.  Current Alzheimer Research 2013;10:82‐5.    Google Scholar     ",['https://scholar.google.com/scholar_lookup?title=The+usefulness+of+amyloid+imaging+in+predicting+the+clinical+outcome+after+two+years+in+subjects+with+mild+cognitive+impairment+&author=+GrimmerT&author=C+Wutz&author=A+Drzezga&author=S+Forster&author=H+Forstl&author=M+Ortner&publication_year=2013&hl=en'],,, Grimmer 2013 {published data only}  ,included,CD010386-bbs2-0002,
CD010386-bib-0006,Beckett 2010. ,The Alzheimer's Disease Neuroimaging Initiative: Annual change in biomarkers and clinical outcomes, Alzheimer's & Dementia ,2010,3,    ,['citation-journal'], Beckett 2010. The Alzheimer's Disease Neuroimaging Initiative: Annual change in biomarkers and clinical outcomes.  Alzheimer's & Dementia 2010;3:257‐64.    Link to article     Google Scholar     ,"['https://doi.org/10.1016/j.jalz.2010.03.002', ""https://scholar.google.com/scholar_lookup?title=The+Alzheimer's+Disease+Neuroimaging+Initiative:+Annual+change+in+biomarkers+and+clinical+outcomes+&author=2010+Beckett&publication_year=2010&hl=en""]",,https://doi.org/10.1016/j.jalz.2010.03.002, Jack 2010 {published data only}  ,included,CD010386-bbs2-0003,
CD010386-bib-0007,"Burns L, Berman R, Guo Z, Soares H, Kaplita S, Yoo B, et al. ",The relationship between cerebral spinal fluid (CSF) biomarkers and Pittsburgh compound B (PIB) positron emission tomography (PET) in predicting Alzheimer's disease (AD),,2011,,    ,['citation-other']," Burns L, Berman R, Guo Z, Soares H, Kaplita S, Yoo B, et al. The relationship between cerebral spinal fluid (CSF) biomarkers and Pittsburgh compound B (PIB) positron emission tomography (PET) in predicting Alzheimer's disease (AD) [Conference: Alzheimer's Association International Conference, AAIC 11 Paris France. Conference Start: 20110716 Conference End: 20110721. Conference Publication: (var.pagings)]. Alzheimer's & Dementia2011; Vol. 7, issue 4 Suppl 1:S206.    Google Scholar     ","[""https://scholar.google.com/scholar_lookup?title=The+relationship+between+cerebral+spinal+fluid+(CSF)+biomarkers+and+Pittsburgh+compound+B+(PIB)+positron+emission+tomography+(PET)+in+predicting+Alzheimer's+disease+(AD)+&author=L+Burns&author=R+Berman&author=Z+Guo&author=H+Soares&author=S+Kaplita&author=B+Yoo&publication_year=2011&hl=en""]",,, Jack 2010 {published data only}  ,included,CD010386-bbs2-0003,
CD010386-bib-0008,"Ewers M, Aisen P, Jagust W, Schuff N, Weiner M, Trojanowski J, et al. ",CSF biomarker and PIB‐PET‐derived beta‐amyloid signature predicts brain metabolism grey matter and cognitive changes in non‐demented subjects,,2011,,    ,['citation-other']," Ewers M, Aisen P, Jagust W, Schuff N, Weiner M, Trojanowski J, et al. CSF biomarker and PIB‐PET‐derived beta‐amyloid signature predicts brain metabolism grey matter and cognitive changes in non‐demented subjects [Conference: Alzheimer's Association International Conference, AAIC 11 Paris France. Conference Start: 20110716 Conference End: 20110721. Conference Publication: (var.pagings)]. Alzheimer's & Dementia2011; Vol. 7, issue 4 Suppl 1:S102.    Google Scholar     ",['https://scholar.google.com/scholar_lookup?title=CSF+biomarker+and+PIB‐PET‐derived+beta‐amyloid+signature+predicts+brain+metabolism+grey+matter+and+cognitive+changes+in+non‐demented+subjects+&author=M+Ewers&author=P+Aisen&author=W+Jagust&author=N+Schuff&author=M+Weiner&author=J+Trojanowski&publication_year=2011&hl=en'],,, Jack 2010 {published data only}  ,included,CD010386-bbs2-0003,
CD010386-bib-0009,"Ishii K, Sakata M, Oda K, Toyohara J, Ishiwata K, Senda M, et al. ","Age, ApoE e4, and ethnic effect on [C‐11] PIB in multinational ADNI studies: Direct comparison of J‐ADNI, US‐ADNI and AIBL data",,2011,,    ,['citation-other']," Ishii K, Sakata M, Oda K, Toyohara J, Ishiwata K, Senda M, et al. Age, ApoE e4, and ethnic effect on [C‐11] PIB in multinational ADNI studies: Direct comparison of J‐ADNI, US‐ADNI and AIBL data [Conference: Alzheimer's Association International Conference, AAIC 11 Paris France. Conference Start: 20110716 Conference End: 20110721. Conference Publication: (var.pagings)]. Alzheimer's & Dementia2011; Vol. 7, issue 4 Suppl 1:S233.    Google Scholar     ","['https://scholar.google.com/scholar_lookup?title=Age,+ApoE+e4,+and+ethnic+effect+on+[C‐11]+PIB+in+multinational+ADNI+studies:+Direct+comparison+of+J‐ADNI,+US‐ADNI+and+AIBL+data+&author=K+Ishii&author=M+Sakata&author=K+Oda&author=J+Toyohara&author=K+Ishiwata&author=M+Senda&publication_year=2011&hl=en']",,, Jack 2010 {published data only}  ,included,CD010386-bbs2-0003,
CD010386-bib-0010,Jack 2009. ,"Serial PIB and MRI in normal, mild cognitive impairment and Alzheimer's disease: implications for sequence at pathological events in Alzheimer's disease", Brain ,2009,132,    ,['citation-journal']," Jack 2009. Serial PIB and MRI in normal, mild cognitive impairment and Alzheimer's disease: implications for sequence at pathological events in Alzheimer's disease.  Brain 2009;132:1355‐65.    Link to article     Google Scholar     ","['https://doi.org/10.1093/brain/awp062', ""https://scholar.google.com/scholar_lookup?title=Serial+PIB+and+MRI+in+normal,+mild+cognitive+impairment+and+Alzheimer's+disease:+implications+for+sequence+at+pathological+events+in+Alzheimer's+disease+&author=2009+Jack&publication_year=2009&hl=en""]",,https://doi.org/10.1093/brain/awp062, Jack 2010 {published data only}  ,included,CD010386-bbs2-0003,
