Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 All‐cause death Show forest plot,5,35226,"Risk Ratio (M‐H, Fixed, 95% CI)","1.03 [0.98, 1.09]",RAS inhibitors vs CCBs,1,1.03,0.98,1.09,1,,All‐cause death,
2 Total CV events Show forest plot,6,35223,"Risk Ratio (M‐H, Fixed, 95% CI)","0.98 [0.93, 1.02]",RAS inhibitors vs CCBs,1,0.98,0.93,1.02,2,,Total CV events,
3 Total HF Show forest plot,5,35143,"Risk Ratio (M‐H, Fixed, 95% CI)","0.83 [0.77, 0.90]",RAS inhibitors vs CCBs,1,0.83,0.77,0.9,3,,Total HF,
4 Total MI Show forest plot,5,35043,"Risk Ratio (M‐H, Fixed, 95% CI)","1.01 [0.93, 1.09]",RAS inhibitors vs CCBs,1,1.01,0.93,1.09,4,,Total MI,
5 Total stroke Show forest plot,4,34673,"Risk Ratio (M‐H, Fixed, 95% CI)","1.19 [1.08, 1.32]",RAS inhibitors vs CCBs,1,1.19,1.08,1.32,5,,Total stroke,
6 ESRF Show forest plot,4,19551,"Risk Ratio (M‐H, Fixed, 95% CI)","0.88 [0.74, 1.05]",RAS inhibitors vs CCBs,1,0.88,0.74,1.05,6,,ESRF,
7 SBP Show forest plot,20,36437,"Mean Difference (IV, Fixed, 95% CI)","1.23 [0.90, 1.56]",RAS inhibitors vs CCBs,1,1.23,0.9,1.56,7,,SBP,
8 DBP Show forest plot,20,36437,"Mean Difference (IV, Fixed, 95% CI)","0.98 [0.79, 1.18]",RAS inhibitors vs CCBs,1,0.98,0.79,1.18,8,,DBP,
9 HR Show forest plot,5,540,"Mean Difference (IV, Fixed, 95% CI)","0.30 [‐1.63, 2.22]",RAS inhibitors vs CCBs,1,0.3,-1.63,2.22,9,,HR,
1 All‐cause death Show forest plot,1,24309,"Risk Ratio (M‐H, Fixed, 95% CI)","1.00 [0.94, 1.07]",RAS inhibitors vs thiazides,2,1.0,0.94,1.07,1,,All‐cause death,
2 Total CV events Show forest plot,2,24379,"Risk Ratio (M‐H, Fixed, 95% CI)","1.05 [1.00, 1.11]",RAS inhibitors vs thiazides,2,1.05,1.0,1.11,2,,Total CV events,
3 Total HF Show forest plot,1,24309,"Risk Ratio (M‐H, Fixed, 95% CI)","1.19 [1.07, 1.31]",RAS inhibitors vs thiazides,2,1.19,1.07,1.31,3,,Total HF,
4 Total MI Show forest plot,2,24379,"Risk Ratio (M‐H, Fixed, 95% CI)","0.93 [0.86, 1.01]",RAS inhibitors vs thiazides,2,0.93,0.86,1.01,4,,Total MI,
5 Total stroke Show forest plot,1,24309,"Risk Ratio (M‐H, Fixed, 95% CI)","1.14 [1.02, 1.28]",RAS inhibitors vs thiazides,2,1.14,1.02,1.28,5,,Total stroke,
6 ESRF Show forest plot,1,24309,"Risk Ratio (M‐H, Fixed, 95% CI)","1.10 [0.88, 1.37]",RAS inhibitors vs thiazides,2,1.1,0.88,1.37,6,,ESRF,
7 SBP Show forest plot,10,26382,"Mean Difference (IV, Fixed, 95% CI)","1.60 [1.20, 1.99]",RAS inhibitors vs thiazides,2,1.6,1.2,1.99,7,,SBP,
