reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason
CD010213-bib-0001,"Brand B, Pfaff T, Binmoeller KF, Sriram PV, Fritscher‐Ravens A, Knofel WT, et al. ","Endoscopic ultrasound for differential diagnosis of focal pancreatic lesions, confirmed by surgery", Scandinavian Journal of Gastroenterology ,2000,35,    ,['citation-journal']," Brand B, Pfaff T, Binmoeller KF, Sriram PV, Fritscher‐Ravens A, Knofel WT, et al. Endoscopic ultrasound for differential diagnosis of focal pancreatic lesions, confirmed by surgery.  Scandinavian Journal of Gastroenterology 2000;35(11):1221‐8. CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/11145297', 'https://scholar.google.com/scholar_lookup?title=Endoscopic+ultrasound+for+differential+diagnosis+of+focal+pancreatic+lesions,+confirmed+by+surgery+&author=B+Brand&author=T+Pfaff&author=KF+Binmoeller&author=PV+Sriram&author=A+Fritscher‐Ravens&author=WT+Knofel&publication_year=2000&hl=en']",11145297,, Brand 2000 {published data only}  ,included,CD010213-bbs2-0001,
CD010213-bib-0002,"Brandwein SL, Farrell JJ, Centeno BA, Brugge WR. ","Detection and tumor staging of malignancy in cystic, intraductal, and solid tumors of the pancreas by EUS", Gastrointestinal Endoscopy ,2001,53,    ,['citation-journal']," Brandwein SL, Farrell JJ, Centeno BA, Brugge WR. Detection and tumor staging of malignancy in cystic, intraductal, and solid tumors of the pancreas by EUS.  Gastrointestinal Endoscopy 2001;53(7):722‐7. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1067/mge.2001.114783', 'https://www.ncbi.nlm.nih.gov/pubmed/11375578', 'https://scholar.google.com/scholar_lookup?title=Detection+and+tumor+staging+of+malignancy+in+cystic,+intraductal,+and+solid+tumors+of+the+pancreas+by+EUS+&author=SL+Brandwein&author=JJ+Farrell&author=BA+Centeno&author=WR+Brugge&publication_year=2001&hl=en']",11375578,https://doi.org/10.1067/mge.2001.114783, Brandwein 2001 ‐ Cystic {published data only}  ,included,CD010213-bbs2-0002,
CD010213-bib-0003,"Brandwein SL, Farrell JJ, Centeno BA, Brugge WR. ","Detection and tumor staging of malignancy in cystic, intraductal, and solid tumors of the pancreas by EUS", Gastrointestinal Endoscopy ,2001,53,    ,['citation-journal']," Brandwein SL, Farrell JJ, Centeno BA, Brugge WR. Detection and tumor staging of malignancy in cystic, intraductal, and solid tumors of the pancreas by EUS.  Gastrointestinal Endoscopy 2001;53(7):722‐7. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1067/mge.2001.114783', 'https://www.ncbi.nlm.nih.gov/pubmed/11375578', 'https://scholar.google.com/scholar_lookup?title=Detection+and+tumor+staging+of+malignancy+in+cystic,+intraductal,+and+solid+tumors+of+the+pancreas+by+EUS+&author=SL+Brandwein&author=JJ+Farrell&author=BA+Centeno&author=WR+Brugge&publication_year=2001&hl=en']",11375578,https://doi.org/10.1067/mge.2001.114783, Brandwein 2001 ‐ Solid {published data only}  ,included,CD010213-bbs2-0003,
CD010213-bib-0004,"Cellier C, Cuillerier E, Palazzo L, Rickaert F, Flejou JF, Napoleon B, et al. ","Intraductal papillary and mucinous tumors of the pancreas: Accuracy of preoperative computed tomography, endoscopic retrograde pancreatography and endoscopic ultrasonography, and long‐term outcome in a large surgical series", Gastrointestinal Endoscopy ,1998,47,    ,['citation-journal']," Cellier C, Cuillerier E, Palazzo L, Rickaert F, Flejou JF, Napoleon B, et al. Intraductal papillary and mucinous tumors of the pancreas: Accuracy of preoperative computed tomography, endoscopic retrograde pancreatography and endoscopic ultrasonography, and long‐term outcome in a large surgical series.  Gastrointestinal Endoscopy 1998;47(1):42‐9. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/S0016-5107(98)70297-4', 'https://www.ncbi.nlm.nih.gov/pubmed/9468422', 'https://scholar.google.com/scholar_lookup?title=Intraductal+papillary+and+mucinous+tumors+of+the+pancreas:+Accuracy+of+preoperative+computed+tomography,+endoscopic+retrograde+pancreatography+and+endoscopic+ultrasonography,+and+long‐term+outcome+in+a+large+surgical+series+&author=C+Cellier&author=E+Cuillerier&author=L+Palazzo&author=F+Rickaert&author=JF+Flejou&author=B+Napoleon&publication_year=1998&hl=en']",9468422,https://doi.org/10.1016/S0016-5107(98)70297-4, Cellier 1998 {published data only}  ,included,CD010213-bbs2-0004,
CD010213-bib-0005,"Cherian PT, Mohan P, Douiri A, Taniere P, Hejmadi RK, Mahon BS. ",Role of endoscopic ultrasound‐guided fine‐needle aspiration in the diagnosis of solid pancreatic and peripancreatic lesions: Is onsite cytopathology necessary?, HPB ,2010,12,    ,['citation-journal']," Cherian PT, Mohan P, Douiri A, Taniere P, Hejmadi RK, Mahon BS. Role of endoscopic ultrasound‐guided fine‐needle aspiration in the diagnosis of solid pancreatic and peripancreatic lesions: Is onsite cytopathology necessary?.  HPB 2010;12(6):389‐95. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1111/j.1477-2574.2010.00180.x', 'https://www.ncbi.nlm.nih.gov/pubmed/20662789', 'https://scholar.google.com/scholar_lookup?title=Role+of+endoscopic+ultrasound‐guided+fine‐needle+aspiration+in+the+diagnosis+of+solid+pancreatic+and+peripancreatic+lesions:+Is+onsite+cytopathology+necessary?+&author=PT+Cherian&author=P+Mohan&author=A+Douiri&author=P+Taniere&author=RK+Hejmadi&author=BS+Mahon&publication_year=2010&hl=en']",20662789,https://doi.org/10.1111/j.1477-2574.2010.00180.x, Cherian 2010 {published data only}  ,included,CD010213-bbs2-0005,
CD010213-bib-0006,"Choi BS, Kim TK, Kim AY, Kim KW, Park SW, Kim PN, et al. ",Differential diagnosis of benign and malignant intraductal papillary mucinous tumors of the pancreas: MR cholangiopancreatography and MR angiography, Korean Journal of Radiology ,2003,4,    ,['citation-journal']," Choi BS, Kim TK, Kim AY, Kim KW, Park SW, Kim PN, et al. Differential diagnosis of benign and malignant intraductal papillary mucinous tumors of the pancreas: MR cholangiopancreatography and MR angiography.  Korean Journal of Radiology 2003;4(3):157‐62. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.3348/kjr.2003.4.3.157', 'https://www.ncbi.nlm.nih.gov/pubmed/14530644', 'https://scholar.google.com/scholar_lookup?title=Differential+diagnosis+of+benign+and+malignant+intraductal+papillary+mucinous+tumors+of+the+pancreas:+MR+cholangiopancreatography+and+MR+angiography+&author=BS+Choi&author=TK+Kim&author=AY+Kim&author=KW+Kim&author=SW+Park&author=PN+Kim&publication_year=2003&hl=en']",14530644,https://doi.org/10.3348/kjr.2003.4.3.157, Choi 2003 {published data only}  ,included,CD010213-bbs2-0006,
CD010213-bib-0007,"Correa‐Gallego C, Warshaw AL, Fernandez‐del Castillo C. ",Fluid CEA in ipmns: A useful test or the flip of a coin?, American Journal of Gastroenterology ,2009,104,    ,['citation-journal']," Correa‐Gallego C, Warshaw AL, Fernandez‐del Castillo C. Fluid CEA in ipmns: A useful test or the flip of a coin?.  American Journal of Gastroenterology 2009;104(3):796‐7. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.14309/00000434-200903000-00058', 'https://www.ncbi.nlm.nih.gov/pubmed/19223886', 'https://scholar.google.com/scholar_lookup?title=Fluid+CEA+in+ipmns:+A+useful+test+or+the+flip+of+a+coin?&author=C+Correa‐Gallego&author=AL+Warshaw&author=C+Fernandez‐delCastillo&publication_year=2009&hl=en']",19223886,https://doi.org/10.14309/00000434-200903000-00058, Correa‐Gallego 2009 {published data only}  ,included,CD010213-bbs2-0007,
CD010213-bib-0008,"De Jong K, Nio CY, Gouma DJ, Bruno MJ, Fockens P. ",Accuracy of MRI and EUS in a prospective cohort of patients with histological proven pancreatic cystic lesions of the pancreas, Gastroenterology ,2010,138,    ,['citation-journal']," De Jong K, Nio CY, Gouma DJ, Bruno MJ, Fockens P. Accuracy of MRI and EUS in a prospective cohort of patients with histological proven pancreatic cystic lesions of the pancreas.  Gastroenterology 2010;138(5 Suppl 1):S547. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/S0016-5085(10)62522-X', 'https://scholar.google.com/scholar_lookup?title=Accuracy+of+MRI+and+EUS+in+a+prospective+cohort+of+patients+with+histological+proven+pancreatic+cystic+lesions+of+the+pancreas+&author=K+Jong&author=CY+Nio&author=DJ+Gouma&author=MJ+Bruno&author=P+Fockens&publication_year=2010&hl=en']",,https://doi.org/10.1016/S0016-5085(10)62522-X, de Jong 2012 {published data only}  ,included,CD010213-bbs2-0008,
CD010213-bib-0009,"de Jong K, van Hooft JE, Nio CY, Gouma DJ, Dijkgraaf MG, Bruno MJ, et al. ",Accuracy of preoperative workup in a prospective series of surgically resected cystic pancreatic lesions, Scandinavian Journal of Gastroenterology ,2012,47,    ,['citation-journal']," de Jong K, van Hooft JE, Nio CY, Gouma DJ, Dijkgraaf MG, Bruno MJ, et al. Accuracy of preoperative workup in a prospective series of surgically resected cystic pancreatic lesions.  Scandinavian Journal of Gastroenterology 2012;47(8‐9):1056‐63. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.3109/00365521.2012.674970', 'https://www.ncbi.nlm.nih.gov/pubmed/22571417', 'https://scholar.google.com/scholar_lookup?title=Accuracy+of+preoperative+workup+in+a+prospective+series+of+surgically+resected+cystic+pancreatic+lesions+&author=K+Jong&author=JE+Hooft&author=CY+Nio&author=DJ+Gouma&author=MG+Dijkgraaf&author=MJ+Bruno&publication_year=2012&hl=en']",22571417,https://doi.org/10.3109/00365521.2012.674970, de Jong 2012 {published data only}  ,included,CD010213-bbs2-0008,
CD010213-bib-0010,"Doi R, Fujimoto K, Wada M, Imamura M. ",Surgical management of intraductal papillary mucinous tumor of the pancreas, Surgery ,2002,132,    ,['citation-journal']," Doi R, Fujimoto K, Wada M, Imamura M. Surgical management of intraductal papillary mucinous tumor of the pancreas.  Surgery 2002;132(1):80‐5. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1067/msy.2002.125386', 'https://www.ncbi.nlm.nih.gov/pubmed/12110799', 'https://scholar.google.com/scholar_lookup?title=Surgical+management+of+intraductal+papillary+mucinous+tumor+of+the+pancreas&author=R+Doi&author=K+Fujimoto&author=M+Wada&author=M+Imamura&publication_year=2002&hl=en']",12110799,https://doi.org/10.1067/msy.2002.125386, Doi 2002 {published data only}  ,included,CD010213-bbs2-0009,
