Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Pulmonary complications Show forest plot,5,346,"Risk Ratio (M‐H, Fixed, 95% CI)","1.03 [0.72, 1.47]",NIPPV versus no NIPPV,1,1.03,0.72,1.47,1,,Pulmonary complications,
1.1 Bi‐level,2,53,"Risk Ratio (M‐H, Fixed, 95% CI)","0.76 [0.27, 2.13]",NIPPV versus no NIPPV,1,0.76,0.27,2.13,1,1,Pulmonary complications,Bi‐level
1.2 CPAP,3,293,"Risk Ratio (M‐H, Fixed, 95% CI)","1.08 [0.74, 1.59]",NIPPV versus no NIPPV,1,1.08,0.74,1.59,1,2,Pulmonary complications,CPAP
2 Rate of intubation Show forest plot,2,69,"Risk Ratio (M‐H, Fixed, 95% CI)","0.55 [0.25, 1.20]",NIPPV versus no NIPPV,1,0.55,0.25,1.2,2,,Rate of intubation,
2.1 Bi‐level,2,69,"Risk Ratio (M‐H, Fixed, 95% CI)","0.55 [0.25, 1.20]",NIPPV versus no NIPPV,1,0.55,0.25,1.2,2,1,Rate of intubation,Bi‐level
3 Mortality Show forest plot,5,259,"Risk Ratio (M‐H, Fixed, 95% CI)","0.60 [0.24, 1.53]",NIPPV versus no NIPPV,1,0.6,0.24,1.53,3,,Mortality,
3.1 Bi‐level,3,101,"Risk Ratio (M‐H, Fixed, 95% CI)","0.33 [0.10, 1.08]",NIPPV versus no NIPPV,1,0.33,0.1,1.08,3,1,Mortality,Bi‐level
3.2 CPAP,2,158,"Risk Ratio (M‐H, Fixed, 95% CI)","3.06 [0.33, 28.67]",NIPPV versus no NIPPV,1,3.06,0.33,28.67,3,2,Mortality,CPAP
4 Length of intensive care unit stay Show forest plot,2,69,"Mean Difference (IV, Fixed, 95% CI)","‐0.75 [‐3.93, 2.43]",NIPPV versus no NIPPV,1,-0.75,-3.93,2.43,4,,Length of intensive care unit stay,
4.1 Bi‐level,2,69,"Mean Difference (IV, Fixed, 95% CI)","‐0.75 [‐3.93, 2.43]",NIPPV versus no NIPPV,1,-0.75,-3.93,2.43,4,1,Length of intensive care unit stay,Bi‐level
5 Length of hospital stay Show forest plot,4,209,"Mean Difference (IV, Random, 95% CI)","‐0.12 [‐6.15, 5.90]",NIPPV versus no NIPPV,1,-0.12,-6.15,5.9,5,,Length of hospital stay,
5.1 Bi‐level,3,101,"Mean Difference (IV, Random, 95% CI)","1.01 [‐9.81, 11.84]",NIPPV versus no NIPPV,1,1.01,-9.81,11.84,5,1,Length of hospital stay,Bi‐level
5.2 CPAP,1,108,"Mean Difference (IV, Random, 95% CI)","0.40 [‐0.94, 1.74]",NIPPV versus no NIPPV,1,0.4,-0.94,1.74,5,2,Length of hospital stay,CPAP
