Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Menstruation recovery or maintenance Show forest plot,11,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,GnRH agonist plus chemotherapy versus chemotherapy alone,1,,,,1,1,,Menstruation recovery or maintenance Show forest plot
1.1.1 Follow‐up time ≤ 12 months,5,460,"Risk Ratio (M‐H, Random, 95% CI)","1.60 [1.14, 2.24]",GnRH agonist plus chemotherapy versus chemotherapy alone,1,1.6,1.14,2.24,1,1,,Follow‐up time ≤ 12 months
1.1.2 Follow‐up time > 12 months,8,869,"Risk Ratio (M‐H, Random, 95% CI)","1.08 [0.95, 1.22]",GnRH agonist plus chemotherapy versus chemotherapy alone,1,1.08,0.95,1.22,1,1,,Follow‐up time > 12 months
1.2 Premature ovarian failure (POF) Show forest plot,4,780,"Risk Ratio (M‐H, Random, 95% CI)","0.44 [0.31, 0.61]",GnRH agonist plus chemotherapy versus chemotherapy alone,1,0.44,0.31,0.61,1,2,,Premature ovarian failure (POF) Show forest plot
1.3 Pregnancy Show forest plot,7,703,"Risk Ratio (M‐H, Random, 95% CI)","1.59 [0.93, 2.70]",GnRH agonist plus chemotherapy versus chemotherapy alone,1,1.59,0.93,2.7,1,3,,Pregnancy Show forest plot
1.4 Ovulation Show forest plot,2,95,"Risk Ratio (M‐H, Random, 95% CI)","2.47 [1.43, 4.26]",GnRH agonist plus chemotherapy versus chemotherapy alone,1,2.47,1.43,4.26,1,4,,Ovulation Show forest plot
1.5 Antral follicle count Show forest plot,1,,"Std. Mean Difference (IV, Random, 95% CI)",Totals not selected,GnRH agonist plus chemotherapy versus chemotherapy alone,1,,,,1,5,,Antral follicle count Show forest plot
1.6 FSH (mUI/L) Show forest plot,2,71,"Std. Mean Difference (IV, Random, 95% CI)","0.26 [‐0.80, 1.31]",GnRH agonist plus chemotherapy versus chemotherapy alone,1,0.26,-0.8,1.31,1,6,,FSH (mUI/L) Show forest plot
1.7 FSH < 20 mIU/mL Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,GnRH agonist plus chemotherapy versus chemotherapy alone,1,,,,1,7,,FSH < 20 mIU/mL Show forest plot
1.8 LH (mUI/L) Show forest plot,2,71,"Std. Mean Difference (IV, Random, 95% CI)","‐0.62 [‐1.28, 0.03]",GnRH agonist plus chemotherapy versus chemotherapy alone,1,-0.62,-1.28,0.03,1,8,,LH (mUI/L) Show forest plot
