Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Change in depressive symptoms Show forest plot,6,764,"Std. Mean Difference (IV, Random, 95% CI)","0.19 [0.05, 0.33]",Psychological therapies versus no intervention,1,0.19,0.05,0.33,1,,Change in depressive symptoms,
2 Change in depressive symptoms (clinically depressed) Show forest plot,4,499,"Std. Mean Difference (IV, Random, 95% CI)","0.20 [0.02, 0.37]",Psychological therapies versus no intervention,1,0.2,0.02,0.37,2,,Change in depressive symptoms (clinically depressed),
3 Change in quality of life (measured by CAT + SGRQ) Show forest plot,3,348,"Std. Mean Difference (IV, Random, 95% CI)","0.15 [‐0.09, 0.38]",Psychological therapies versus no intervention,1,0.15,-0.09,0.38,3,,Change in quality of life (measured by CAT + SGRQ),
4 Change in quality of life (measured by SGRQ) Show forest plot,2,238,"Mean Difference (IV, Random, 95% CI)","5.60 [0.23, 10.98]",Psychological therapies versus no intervention,1,5.6,0.23,10.98,4,,Change in quality of life (measured by SGRQ),
5 Change in quality of life (measured by SF‐36) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Psychological therapies versus no intervention,1,,,,5,,Change in quality of life (measured by SF‐36),
5.1 physical health domains combined score,1,96,"Mean Difference (IV, Fixed, 95% CI)","‐0.5 [‐5.53, 4.53]",Psychological therapies versus no intervention,1,-0.5,-5.53,4.53,5,1,Change in quality of life (measured by SF‐36),physical health domains combined score
5.2 mental health domains combined score,1,96,"Mean Difference (IV, Fixed, 95% CI)","‐4.0 [‐9.42, 1.42]",Psychological therapies versus no intervention,1,-4.0,-9.42,1.42,5,2,Change in quality of life (measured by SF‐36),mental health domains combined score
1 Change in depressive symptoms Show forest plot,3,507,"Std. Mean Difference (IV, Random, 95% CI)","0.23 [0.06, 0.41]",Psychological therapies versus education,2,0.23,0.06,0.41,1,,Change in depressive symptoms,
2 Change in quality of life (measured by CRQ) Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Psychological therapies versus education,2,,,,2,,Change in quality of life (measured by CRQ),
2.1 dyspnoea,2,458,"Mean Difference (IV, Random, 95% CI)","‐1.84 [‐5.94, 2.26]",Psychological therapies versus education,2,-1.84,-5.94,2.26,2,1,Change in quality of life (measured by CRQ),dyspnoea
2.2 fatigue,2,460,"Mean Difference (IV, Random, 95% CI)","‐1.55 [‐4.83, 1.73]",Psychological therapies versus education,2,-1.55,-4.83,1.73,2,2,Change in quality of life (measured by CRQ),fatigue
2.3 emotional functioning,2,460,"Mean Difference (IV, Random, 95% CI)","‐2.98 [‐9.15, 3.19]",Psychological therapies versus education,2,-2.98,-9.15,3.19,2,3,Change in quality of life (measured by CRQ),emotional functioning
2.4 mastery,2,460,"Mean Difference (IV, Random, 95% CI)","‐1.94 [‐5.66, 1.77]",Psychological therapies versus education,2,-1.94,-5.66,1.77,2,4,Change in quality of life (measured by CRQ),mastery
3 Change in quality of life (measured by SF‐36) Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Psychological therapies versus education,2,,,,3,,Change in quality of life (measured by SF‐36),
3.1 Bodily pain,2,286,"Mean Difference (IV, Random, 95% CI)","0.23 [‐11.90, 12.37]",Psychological therapies versus education,2,0.23,-11.9,12.37,3,1,Change in quality of life (measured by SF‐36),Bodily pain
3.2 General health,2,286,"Mean Difference (IV, Random, 95% CI)","0.75 [‐9.20, 10.70]",Psychological therapies versus education,2,0.75,-9.2,10.7,3,2,Change in quality of life (measured by SF‐36),General health
3.3 Mental health,2,286,"Mean Difference (IV, Random, 95% CI)","‐3.37 [‐12.58, 5.85]",Psychological therapies versus education,2,-3.37,-12.58,5.85,3,3,Change in quality of life (measured by SF‐36),Mental health
3.4 Physical functioning,2,286,"Mean Difference (IV, Random, 95% CI)","0.55 [‐10.55, 11.65]",Psychological therapies versus education,2,0.55,-10.55,11.65,3,4,Change in quality of life (measured by SF‐36),Physical functioning
3.5 Role emotional,2,286,"Mean Difference (IV, Random, 95% CI)","3.66 [‐15.20, 22.52]",Psychological therapies versus education,2,3.66,-15.2,22.52,3,5,Change in quality of life (measured by SF‐36),Role emotional
3.6 Role physical,2,286,"Mean Difference (IV, Random, 95% CI)","‐5.14 [‐18.27, 7.98]",Psychological therapies versus education,2,-5.14,-18.27,7.98,3,6,Change in quality of life (measured by SF‐36),Role physical
3.7 Social functioning,2,286,"Mean Difference (IV, Random, 95% CI)","1.66 [‐10.73, 14.05]",Psychological therapies versus education,2,1.66,-10.73,14.05,3,7,Change in quality of life (measured by SF‐36),Social functioning
3.8 Vitality,2,286,"Mean Difference (IV, Random, 95% CI)","‐1.46 [‐11.20, 8.29]",Psychological therapies versus education,2,-1.46,-11.2,8.29,3,8,Change in quality of life (measured by SF‐36),Vitality
4 Change in 6‐minute walk test Show forest plot,2,286,"Mean Difference (IV, Random, 95% CI)","‐16.98 [‐187.54, 153.59]",Psychological therapies versus education,2,-16.98,-187.54,153.59,4,,Change in 6‐minute walk test,
1 Change in depressive symptoms Show forest plot,2,114,"Std. Mean Difference (IV, Random, 95% CI)","0.37 [‐0.00, 0.74]",Psychological therapies + pulmonary rehabilitation (PR) versus PR alone,3,0.37,-0.0,0.74,1,,Change in depressive symptoms,
