Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Mortality before hospital discharge Show forest plot,2,1380,"Risk Ratio (M‐H, Fixed, 95% CI)","1.01 [0.72, 1.42]",Iodine supplementation versus control,1,1.01,0.72,1.42,1,,Mortality before hospital discharge,
2 Bayley‐III Cognitive score at 2 years of age corrected for prematurity Show forest plot,1,1259,"Mean Difference (IV, Fixed, 95% CI)","‐0.30 [‐2.44, 1.84]",Iodine supplementation versus control,1,-0.3,-2.44,1.84,2,,Bayley‐III Cognitive score at 2 years of age corrected for prematurity,
3 Bayley‐III Motor composite score at 2 years of age corrected for prematurity Show forest plot,1,1259,"Mean Difference (IV, Fixed, 95% CI)","0.20 [‐2.15, 2.55]",Iodine supplementation versus control,1,0.2,-2.15,2.55,3,,Bayley‐III Motor composite score at 2 years of age corrected for prematurity,
4 Bayley‐III Language composite score at 2 years of age corrected for prematurity Show forest plot,1,1259,"Mean Difference (IV, Fixed, 95% CI)","‐0.10 [‐2.50, 2.30]",Iodine supplementation versus control,1,-0.1,-2.5,2.3,4,,Bayley‐III Language composite score at 2 years of age corrected for prematurity,
5 Low score in any main Bayley domain (< 85) or death Show forest plot,1,1259,"Risk Ratio (M‐H, Fixed, 95% CI)","1.05 [0.94, 1.17]",Iodine supplementation versus control,1,1.05,0.94,1.17,5,,Low score in any main Bayley domain (< 85) or death,
6 Visual impairment Show forest plot,1,1092,"Risk Ratio (M‐H, Fixed, 95% CI)","0.63 [0.28, 1.45]",Iodine supplementation versus control,1,0.63,0.28,1.45,6,,Visual impairment,
7 Auditory impairment Show forest plot,1,1093,"Risk Ratio (M‐H, Fixed, 95% CI)","1.05 [0.51, 2.16]",Iodine supplementation versus control,1,1.05,0.51,2.16,7,,Auditory impairment,
8 Air leaks (pneumothorax) Show forest plot,1,1257,"Risk Ratio (M‐H, Fixed, 95% CI)","0.50 [0.31, 0.80]",Iodine supplementation versus control,1,0.5,0.31,0.8,8,,Air leaks (pneumothorax),
9 Chronic lung disease in surviving infants (supplemental oxygen requirement at 36 weeks' postmenstrual age) Show forest plot,2,1377,"Risk Ratio (M‐H, Fixed, 95% CI)","1.07 [0.94, 1.22]",Iodine supplementation versus control,1,1.07,0.94,1.22,9,,Chronic lung disease in surviving infants (supplemental oxygen requirement at 36 weeks' postmenstrual age),
10 Necrotising enterocolitis Show forest plot,1,1259,"Risk Ratio (M‐H, Fixed, 95% CI)","1.24 [0.98, 1.56]",Iodine supplementation versus control,1,1.24,0.98,1.56,10,,Necrotising enterocolitis,
11 Retinopathy of prematurity Show forest plot,1,1257,"Risk Ratio (M‐H, Fixed, 95% CI)","0.97 [0.64, 1.49]",Iodine supplementation versus control,1,0.97,0.64,1.49,11,,Retinopathy of prematurity,
12 Persistent ductus arteriosus Show forest plot,1,1259,"Risk Ratio (M‐H, Fixed, 95% CI)","0.98 [0.83, 1.16]",Iodine supplementation versus control,1,0.98,0.83,1.16,12,,Persistent ductus arteriosus,
13 Late‐onset infection Show forest plot,1,1259,"Risk Ratio (M‐H, Fixed, 95% CI)","1.09 [0.96, 1.24]",Iodine supplementation versus control,1,1.09,0.96,1.24,13,,Late‐onset infection,
14 Total plasma thyroxine (nmol/L) at 34–36 weeks' postmenstrual age Show forest plot,2,1121,"Mean Difference (IV, Fixed, 95% CI)","0.29 [‐1.51, 2.09]",Iodine supplementation versus control,1,0.29,-1.51,2.09,14,,Total plasma thyroxine (nmol/L) at 34–36 weeks' postmenstrual age,
15 Thyroid‐stimulating hormone (mU/L) at 34–36 weeks' postmenstrual age Show forest plot,2,1119,"Mean Difference (IV, Fixed, 95% CI)","0.05 [‐0.09, 0.18]",Iodine supplementation versus control,1,0.05,-0.09,0.18,15,,Thyroid‐stimulating hormone (mU/L) at 34–36 weeks' postmenstrual age,
