Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Mortality near term corrected age or discharge (latest reported) subgrouped by inspired oxygen concentration Show forest plot,10,914,"Risk Ratio (M‐H, Fixed, 95% CI)","1.05 [0.68, 1.63]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,1.05,0.68,1.63,1,,Mortality near term corrected age or discharge (latest reported) subgrouped by inspired oxygen concentration,
2 Neurodevelopmental disability Show forest plot,2,208,"Risk Ratio (M‐H, Fixed, 95% CI)","0.82 [0.49, 1.35]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,0.82,0.49,1.35,2,,Neurodevelopmental disability,
3 IPPV in the delivery room Show forest plot,5,249,"Risk Ratio (M‐H, Fixed, 95% CI)","0.94 [0.83, 1.06]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,0.94,0.83,1.06,3,,IPPV in the delivery room,
4 Intubation in the delivery room Show forest plot,9,875,"Risk Ratio (M‐H, Fixed, 95% CI)","0.98 [0.82, 1.18]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,0.98,0.82,1.18,4,,Intubation in the delivery room,
5 Time to reach desired oxygen saturation target Show forest plot,2,102,"Mean Difference (IV, Fixed, 95% CI)","‐0.52 [‐1.83, 0.79]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,-0.52,-1.83,0.79,5,,Time to reach desired oxygen saturation target,
6 Time to reach heart rate > 100 bpm (not prespecified) Show forest plot,1,60,"Mean Difference (IV, Fixed, 95% CI)","0.27 [‐1.21, 1.75]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,0.27,-1.21,1.75,6,,Time to reach heart rate > 100 bpm (not prespecified),
7 Retinopathy of prematurity Show forest plot,4,373,"Risk Ratio (M‐H, Fixed, 95% CI)","0.80 [0.43, 1.49]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,0.8,0.43,1.49,7,,Retinopathy of prematurity,
8 Severe retinopathy of prematurity (≥ stage 3) Show forest plot,4,453,"Risk Ratio (M‐H, Fixed, 95% CI)","0.57 [0.24, 1.36]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,0.57,0.24,1.36,8,,Severe retinopathy of prematurity (≥ stage 3),
9 Intraventricular haemorrhage Show forest plot,3,271,"Risk Ratio (M‐H, Fixed, 95% CI)","0.81 [0.46, 1.44]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,0.81,0.46,1.44,9,,Intraventricular haemorrhage,
10 Severe intraventricular haemorrhage (grade 3 or 4) Show forest plot,6,596,"Risk Ratio (M‐H, Fixed, 95% CI)","0.93 [0.51, 1.71]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,0.93,0.51,1.71,10,,Severe intraventricular haemorrhage (grade 3 or 4),
11 Periventricular leukomalacia Show forest plot,2,130,"Risk Ratio (M‐H, Fixed, 95% CI)","0.66 [0.09, 4.73]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,0.66,0.09,4.73,11,,Periventricular leukomalacia,
12 Necrotising enterocolitis Show forest plot,8,807,"Risk Ratio (M‐H, Fixed, 95% CI)","0.98 [0.51, 1.87]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,0.98,0.51,1.87,12,,Necrotising enterocolitis,
13 Chronic lung disease (28 days' age) Show forest plot,2,148,"Risk Ratio (M‐H, Fixed, 95% CI)","0.70 [0.41, 1.21]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,0.7,0.41,1.21,13,,Chronic lung disease (28 days' age),
14 Chronic lung disease (36 weeks' corrected age) Show forest plot,9,862,"Risk Ratio (M‐H, Fixed, 95% CI)","0.91 [0.72, 1.14]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,0.91,0.72,1.14,14,,Chronic lung disease (36 weeks' corrected age),
15 Duration of respiratory support (mechanical ventilation or CPAP) (days from birth) Show forest plot,2,326,"Mean Difference (IV, Fixed, 95% CI)","‐12.39 [‐13.49, ‐11.29]",Lower (FiO2 < 0.4) versus higher (FiO2 ≥ 0.4) oxygen concentration,1,-12.39,-13.49,-11.29,15,,Duration of respiratory support (mechanical ventilation or CPAP) (days from birth),
