reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason
CD010657-bib-0001,"Agras K, Ortapamuk H, Naldoken S, Tuncel A, Atan A. ",Resolution of cortical lesions on serial renal scans in children with acute pyelonephritis, Pediatric Radiology ,2007,37,    ,['citation-journal']," Agras K, Ortapamuk H, Naldoken S, Tuncel A, Atan A. Resolution of cortical lesions on serial renal scans in children with acute pyelonephritis.  Pediatric Radiology 2007;37(2):153‐8. [MEDLINE: 17171352]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1007/s00247-006-0362-4', 'https://www.ncbi.nlm.nih.gov/pubmed/17171352', 'https://scholar.google.com/scholar_lookup?title=Resolution+of+cortical+lesions+on+serial+renal+scans+in+children+with+acute+pyelonephritis&author=K+Agras&author=H+Ortapamuk&author=S+Naldoken&author=A+Tuncel&author=A+Atan&publication_year=2007&hl=en']",17171352,https://doi.org/10.1007/s00247-006-0362-4, Agras 2007 {published data only}  ,included,CD010657-bbs2-0001,
CD010657-bib-0002,"Alon U, Pery M, Davidai G, Berant M. ",Ultrasonography in the radiologic evaluation of children with urinary tract infection, Pediatrics ,1986,78,    ,['citation-journal']," Alon U, Pery M, Davidai G, Berant M. Ultrasonography in the radiologic evaluation of children with urinary tract infection.  Pediatrics 1986;78(1):58‐64. [MEDLINE: 3523415]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1542/peds.78.1.58', 'https://www.ncbi.nlm.nih.gov/pubmed/3523415', 'https://scholar.google.com/scholar_lookup?title=Ultrasonography+in+the+radiologic+evaluation+of+children+with+urinary+tract+infection&author=U+Alon&author=M+Pery&author=G+Davidai&author=M+Berant&publication_year=1986&hl=en']",3523415,https://doi.org/10.1542/peds.78.1.58, Alon 1986 {published data only}  ,included,CD010657-bbs2-0002,
CD010657-bib-0003,"Alon US, Ganapathy S. ",Should renal ultrasonography be done routinely in children with first urinary tract infection?, Clinical Pediatrics ,1999,38,    ,['citation-journal']," Alon US, Ganapathy S. Should renal ultrasonography be done routinely in children with first urinary tract infection?.  Clinical Pediatrics 1999;38(1):21‐5. [MEDLINE: 9924638]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1177/000992289903800103', 'https://www.ncbi.nlm.nih.gov/pubmed/9924638', 'https://scholar.google.com/scholar_lookup?title=Should+renal+ultrasonography+be+done+routinely+in+children+with+first+urinary+tract+infection?+&author=US+Alon&author=S+Ganapathy&publication_year=1999&hl=en']",9924638,https://doi.org/10.1177/000992289903800103, Alon 1999 {published data only}  ,included,CD010657-bbs2-0003,
CD010657-bib-0004,"Ansari Gilani K, Modaresi Esfeh J, Gholamrezanezhad A, Gholami A, Mamishi S, Eftekhari M, et al. ",Predictors of abnormal renal cortical scintigraphy in children with first urinary tract infection: the importance of time factor, International Urology & Nephrology ,2010,42,    ,['citation-journal']," Ansari Gilani K, Modaresi Esfeh J, Gholamrezanezhad A, Gholami A, Mamishi S, Eftekhari M, et al. Predictors of abnormal renal cortical scintigraphy in children with first urinary tract infection: the importance of time factor.  International Urology & Nephrology 2010;42(4):1041‐7. [MEDLINE: 19798584]CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1007/s11255-009-9650-x', 'https://scholar.google.com/scholar_lookup?title=Predictors+of+abnormal+renal+cortical+scintigraphy+in+children+with+first+urinary+tract+infection:+the+importance+of+time+factor+&author=K+AnsariGilani&author=J+ModaresiEsfeh&author=A+Gholamrezanezhad&author=A+Gholami&author=S+Mamishi&author=M+Eftekhari&publication_year=2010&hl=en']",,https://doi.org/10.1007/s11255-009-9650-x, Ansari Gilani 2010 {published data only}  ,included,CD010657-bbs2-0004,
CD010657-bib-0005,"Ataei N, Madani A, Habibi R, Khorasani M. ",Evaluation of acute pyelonephritis with DMSA scans in children presenting after the age of 5 years, Pediatric Nephrology ,2005,20,    ,['citation-journal']," Ataei N, Madani A, Habibi R, Khorasani M. Evaluation of acute pyelonephritis with DMSA scans in children presenting after the age of 5 years.  Pediatric Nephrology 2005;20(10):1439‐44. [MEDLINE: 16082551]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1007/s00467-005-1925-6', 'https://www.ncbi.nlm.nih.gov/pubmed/16082551', 'https://scholar.google.com/scholar_lookup?title=Evaluation+of+acute+pyelonephritis+with+DMSA+scans+in+children+presenting+after+the+age+of+5+years+&author=N+Ataei&author=A+Madani&author=R+Habibi&author=M+Khorasani&publication_year=2005&hl=en']",16082551,https://doi.org/10.1007/s00467-005-1925-6, Ataei 2005 {published data only}  ,included,CD010657-bbs2-0005,
CD010657-bib-0006,"Ataei N, Safaian B, Madani A, Esfahani ST, Ataei F. ",The importance of 99m‐Tc DMSA renal scintigraphy in evaluation of renal lesions in children with acute pyelonephritis,,2008,,    ,['citation-other']," Ataei N, Safaian B, Madani A, Esfahani ST, Ataei F. The importance of 99m‐Tc DMSA renal scintigraphy in evaluation of renal lesions in children with acute pyelonephritis. Acta Medica Iranica2008; Vol. 46, issue 5:399‐404. [EMBASE: 2008586412]CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=The+importance+of+99m‐Tc+DMSA+renal+scintigraphy+in+evaluation+of+renal+lesions+in+children+with+acute+pyelonephritis+&author=N+Ataei&author=B+Safaian&author=A+Madani&author=ST+Esfahani&author=F+Ataei&publication_year=2008&hl=en']",,, Ataei 2008 {published data only}  ,included,CD010657-bbs2-0006,
CD010657-bib-0007,"Calisti A, Perrotta ML, Oriolo L, Ingianna D, Sciortino R. ","Diagnostic workup of urinary tract infections within the first 24 months of life, in the era of prenatal diagnosis. The contribution of different imaging techniques to clinical management", Minerva Pediatrica ,2005,57,    ,['citation-journal']," Calisti A, Perrotta ML, Oriolo L, Ingianna D, Sciortino R. Diagnostic workup of urinary tract infections within the first 24 months of life, in the era of prenatal diagnosis. The contribution of different imaging techniques to clinical management.  Minerva Pediatrica 2005;57(5):269‐73. [MEDLINE: 16205610]CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/16205610', 'https://scholar.google.com/scholar_lookup?title=Diagnostic+workup+of+urinary+tract+infections+within+the+first+24+months+of+life,+in+the+era+of+prenatal+diagnosis.+The+contribution+of+different+imaging+techniques+to+clinical+management+&author=A+Calisti&author=ML+Perrotta&author=L+Oriolo&author=D+Ingianna&author=R+Sciortino&publication_year=2005&hl=en']",16205610,, Calisti 2005 {published data only}  ,included,CD010657-bbs2-0007,
CD010657-bib-0008,"Camacho V, Estorch M, Fraga G, Mena E, Fuertes J, Hernandez MA, et al. ",DMSA study performed during febrile urinary tract infection: a predictor of patient outcome?, European Journal of Nuclear Medicine & Molecular Imaging ,2004,31,    ,['citation-journal']," Camacho V, Estorch M, Fraga G, Mena E, Fuertes J, Hernandez MA, et al. DMSA study performed during febrile urinary tract infection: a predictor of patient outcome?.  European Journal of Nuclear Medicine & Molecular Imaging 2004;31(6):862‐6. [MEDLINE: 14758509]CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1007/s00259-003-1410-z', 'https://scholar.google.com/scholar_lookup?title=DMSA+study+performed+during+febrile+urinary+tract+infection:+a+predictor+of+patient+outcome?+&author=V+Camacho&author=M+Estorch&author=G+Fraga&author=E+Mena&author=J+Fuertes&author=MA+Hernandez&publication_year=2004&hl=en']",,https://doi.org/10.1007/s00259-003-1410-z, Camacho 2004 {published data only}  ,included,CD010657-bbs2-0008,
CD010657-bib-0009,"Cascio S, Chertin B, Yoneda A, Rolle U, Kelleher J, Puri P. ",Acute renal damage in infants after first urinary tract infection, Pediatric Nephrology ,2002,17,    ,['citation-journal']," Cascio S, Chertin B, Yoneda A, Rolle U, Kelleher J, Puri P. Acute renal damage in infants after first urinary tract infection.  Pediatric Nephrology 2002;17(7):503‐5. [MEDLINE: 12172762]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1007/s00467-002-0923-1', 'https://www.ncbi.nlm.nih.gov/pubmed/12172762', 'https://scholar.google.com/scholar_lookup?title=Acute+renal+damage+in+infants+after+first+urinary+tract+infection&author=S+Cascio&author=B+Chertin&author=A+Yoneda&author=U+Rolle&author=J+Kelleher&author=P+Puri&publication_year=2002&hl=en']",12172762,https://doi.org/10.1007/s00467-002-0923-1, Cascio 2002 {published and unpublished data}  ,included,CD010657-bbs2-0009,
CD010657-bib-0010,"Cleper R, Krause I, Eisenstein B, Davidovits M. ",Prevalence of vesicoureteral reflux in neonatal urinary tract infection, Clinical Pediatrics ,2004,43,    ,['citation-journal']," Cleper R, Krause I, Eisenstein B, Davidovits M. Prevalence of vesicoureteral reflux in neonatal urinary tract infection.  Clinical Pediatrics 2004;43(7):619‐25. [MEDLINE: 15378148]CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1177/000992280404300706', 'https://www.ncbi.nlm.nih.gov/pubmed/15378148', 'https://scholar.google.com/scholar_lookup?title=Prevalence+of+vesicoureteral+reflux+in+neonatal+urinary+tract+infection&author=R+Cleper&author=I+Krause&author=B+Eisenstein&author=M+Davidovits&publication_year=2004&hl=en']",15378148,https://doi.org/10.1177/000992280404300706, Cleper 2004 {published data only}  ,included,CD010657-bbs2-0010,
