Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Gain of 15 or more letters visual acuity at 1 year Show forest plot,6,2667,"Risk Ratio (M‐H, Random, 95% CI)","4.19 [2.32, 7.55]",Anti‐VEGF treatment versus control,1,4.19,2.32,7.55,1,,Gain of 15 or more letters visual acuity at 1 year,
1.1 Pegaptanib vs control,1,1186,"Risk Ratio (M‐H, Random, 95% CI)","2.83 [1.23, 6.52]",Anti‐VEGF treatment versus control,1,2.83,1.23,6.52,1,1,Gain of 15 or more letters visual acuity at 1 year,Pegaptanib vs control
1.2 Ranibizumab vs control,3,1322,"Risk Ratio (M‐H, Random, 95% CI)","3.92 [1.59, 9.67]",Anti‐VEGF treatment versus control,1,3.92,1.59,9.67,1,2,Gain of 15 or more letters visual acuity at 1 year,Ranibizumab vs control
1.3 Bevacizumab vs control,2,159,"Risk Ratio (M‐H, Random, 95% CI)","7.80 [2.44, 24.98]",Anti‐VEGF treatment versus control,1,7.8,2.44,24.98,1,3,Gain of 15 or more letters visual acuity at 1 year,Bevacizumab vs control
2 Gain of 15 or more letters visual acuity at 2 years Show forest plot,3,1322,"Risk Ratio (M‐H, Random, 95% CI)","5.77 [3.38, 9.84]",Anti‐VEGF treatment versus control,1,5.77,3.38,9.84,2,,Gain of 15 or more letters visual acuity at 2 years,
3 Loss of fewer than 15 letters visual acuity at 1 year Show forest plot,6,2667,"Risk Ratio (M‐H, Random, 95% CI)","1.40 [1.27, 1.55]",Anti‐VEGF treatment versus control,1,1.4,1.27,1.55,3,,Loss of fewer than 15 letters visual acuity at 1 year,
3.1 Pegaptanib vs control,1,1186,"Risk Ratio (M‐H, Random, 95% CI)","1.24 [1.11, 1.39]",Anti‐VEGF treatment versus control,1,1.24,1.11,1.39,3,1,Loss of fewer than 15 letters visual acuity at 1 year,Pegaptanib vs control
3.2 Ranibizumab vs control,3,1322,"Risk Ratio (M‐H, Random, 95% CI)","1.53 [1.41, 1.64]",Anti‐VEGF treatment versus control,1,1.53,1.41,1.64,3,2,Loss of fewer than 15 letters visual acuity at 1 year,Ranibizumab vs control
3.3 Bevacizumab vs control,2,159,"Risk Ratio (M‐H, Random, 95% CI)","1.28 [1.09, 1.50]",Anti‐VEGF treatment versus control,1,1.28,1.09,1.5,3,3,Loss of fewer than 15 letters visual acuity at 1 year,Bevacizumab vs control
4 Loss of fewer than 15 letters visual acuity at 2 years Show forest plot,3,1322,"Risk Ratio (M‐H, Random, 95% CI)","1.62 [1.32, 1.98]",Anti‐VEGF treatment versus control,1,1.62,1.32,1.98,4,,Loss of fewer than 15 letters visual acuity at 2 years,
