Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1 Mortality in hospital Show forest plot,9,,"Risk Ratio (M‐H, Fixed, 95% CI)",Totals not selected,Hypocaloric nutrition (intervention) vs. Control,1,,,,1,,Mortality in hospital,
2 Mortality in ICU Show forest plot,4,,"Risk Ratio (M‐H, Fixed, 95% CI)",Totals not selected,Hypocaloric nutrition (intervention) vs. Control,1,,,,2,,Mortality in ICU,
3 Mortality at 30 days Show forest plot,7,,"Risk Ratio (M‐H, Fixed, 95% CI)",Totals not selected,Hypocaloric nutrition (intervention) vs. Control,1,,,,3,,Mortality at 30 days,
4 Length of Hospital stay (days) Show forest plot,10,,"Mean Difference (IV, Random, 95% CI)",Totals not selected,Hypocaloric nutrition (intervention) vs. Control,1,,,,4,,Length of Hospital stay (days),
5 Length of ICU stay (days) Show forest plot,11,,"Mean Difference (IV, Random, 95% CI)",Totals not selected,Hypocaloric nutrition (intervention) vs. Control,1,,,,5,,Length of ICU stay (days),
6 Infectious complications Show forest plot,10,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Hypocaloric nutrition (intervention) vs. Control,1,,,,6,,Infectious complications,
7 Length of mechanical ventilation (days) Show forest plot,12,,"Mean Difference (IV, Random, 95% CI)",Totals not selected,Hypocaloric nutrition (intervention) vs. Control,1,,,,7,,Length of mechanical ventilation (days),
8 Non‐infectious complications (diarrhoea) Show forest plot,3,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Hypocaloric nutrition (intervention) vs. Control,1,,,,8,,Non‐infectious complications (diarrhoea),
9 Hyperglycaemia Show forest plot,6,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Hypocaloric nutrition (intervention) vs. Control,1,,,,9,,Hyperglycaemia,
10 Hypoglicaemia Show forest plot,5,,"Risk Ratio (M‐H, Fixed, 95% CI)",Totals not selected,Hypocaloric nutrition (intervention) vs. Control,1,,,,10,,Hypoglicaemia,
11 Nitrogen balance (g/day) Show forest plot,3,,"Mean Difference (IV, Random, 95% CI)",Totals not selected,Hypocaloric nutrition (intervention) vs. Control,1,,,,11,,Nitrogen balance (g/day),
